RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,67,122,90,8
2,40,31,21,11
3,45,33,23,14
4,41,107,89,17
5,22,13,7,5
6,27,26,13,5
7,30,145,16,11
8,14,14,7,3
9,15,10,4,4
10,27,12,6,4
11,58,26,17,4
12,28,10,4,3
13,18,17,10,5
14,17,20,14,5
15,14,10,4,2
16,20,10,3,2
17,14,11,6,3
18,18,16,8,3
19,18,14,7,12
20,33,20,11,5
21,25,21,7,9
22,14,15,6,4
23,13,13,5,3
24,11,12,6,3
25,13,14,7,3
26,18,12,5,5
27,9,10,5,2
28,16,13,6,2
29,14,11,4,4
30,31,20,9,3
31,18,17,7,3
32,17,15,4,2
33,18,13,5,2
34,11,17,8,3
35,10,20,11,3
36,11,10,4,2
37,12,16,10,2
38,10,10,5,1
39,13,11,5,2
40,26,14,8,10
41,11,5,0,1
42,17,16,6,4
43,18,17,8,2
44,16,27,14,2
45,12,9,4,2
46,15,5,0,2
47,11,35,27,3
48,16,17,10,4
49,31,13,7,3
50,10,12,5,3
51,11,10,5,1
52,7,13,7,2
53,10,8,2,3
54,10,10,5,2
55,9,9,4,2
56,11,13,7,4
57,30,23,12,4
58,11,15,5,3
59,13,17,8,2
60,10,14,7,2
61,16,14,8,4
62,14,20,11,11
63,14,17,8,3
64,25,15,7,8
65,14,16,11,5
66,14,15,9,2
67,12,18,12,2
68,14,8,1,2
69,12,17,9,3
70,23,5,0,2
71,21,12,5,3
72,8,5,0,1
73,8,18,11,1
74,12,18,8,2
75,37,12,6,4
76,12,10,4,3
77,11,14,6,5
78,9,17,6,8
79,13,17,7,2
80,178,8,0,14
81,12,9,2,3
82,16,35,26,3
83,11,7,0,2
84,12,8,3,2
85,10,10,5,2
86,10,11,4,2
87,10,16,11,2
88,12,74,6,1
89,11,16,7,2
90,12,12,5,2
91,9,10,4,1
92,9,13,7,1
93,25,17,9,2
94,11,8,0,2
95,24,15,7,4
96,12,12,7,3
97,10,8,3,2
98,14,18,9,2
99,10,11,4,2
100,12,13,6,2
