RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,126,124,94,9
2,57,67,53,9
3,30,19,9,6
4,59,41,23,6
5,38,22,11,9
6,25,108,10,4
7,19,16,9,7
8,27,14,6,5
9,18,14,8,4
10,38,22,10,5
11,24,13,7,4
12,15,12,5,4
13,27,20,9,4
14,14,14,3,4
15,21,14,1,3
16,16,9,3,2
17,19,8,3,3
18,14,12,5,2
19,16,20,12,4
20,17,8,0,4
21,10,20,7,3
22,16,12,6,10
23,16,10,4,5
24,10,12,4,4
25,12,12,6,3
26,15,12,6,5
27,12,11,5,5
28,22,6,0,2
29,14,11,6,2
30,18,21,13,4
31,20,15,6,6
32,11,13,7,3
33,21,23,10,40
34,14,14,8,3
35,11,17,7,2
36,12,13,6,2
37,10,10,5,1
38,10,9,2,2
39,11,14,5,2
40,12,6,0,3
41,20,21,7,2
42,49,14,6,2
43,38,15,4,3
44,17,125,83,2
45,8,15,7,2
46,9,8,3,1
47,14,18,9,2
48,40,20,12,3
49,36,14,6,3
50,9,8,2,2
51,13,13,8,2
52,9,9,4,2
53,10,9,4,1
54,9,7,2,1
55,13,7,0,8
56,14,13,6,2
57,19,13,6,4
58,9,14,9,2
59,13,11,5,2
60,14,12,7,2
61,17,12,6,3
62,13,10,0,6
63,13,13,6,2
64,24,21,8,3
65,14,17,6,4
66,11,24,14,3
67,13,11,4,2
68,14,15,6,2
69,25,41,9,3
70,11,103,96,2
71,10,7,0,2
72,10,13,9,2
73,9,17,8,3
74,10,14,7,1
75,10,9,4,3
76,11,14,6,3
77,10,5,0,2
78,12,16,9,2
79,15,29,15,3
80,13,8,0,3
81,8,11,6,4
82,9,5,0,3
83,14,10,5,2
84,16,21,9,2
85,34,12,3,1
86,16,44,4,2
87,9,15,10,1
88,10,21,13,2
89,13,15,8,2
90,13,17,8,3
91,9,9,4,2
92,10,6,2,2
93,10,10,5,2
94,10,8,2,1
95,12,9,4,2
96,10,16,8,3
97,12,8,3,1
98,10,9,5,1
99,9,9,3,1
100,19,77,68,2
