RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,104,109,84,14
2,39,47,31,8
3,50,33,18,17
4,43,47,24,11
5,69,30,18,23
6,20,31,20,4
7,24,7,0,4
8,17,30,9,5
9,18,84,75,4
10,17,12,6,4
11,15,17,9,5
12,20,15,7,4
13,22,14,4,6
14,17,10,5,3
15,12,21,11,4
16,19,73,14,5
17,14,16,9,3
18,16,14,8,3
19,18,12,7,5
20,20,15,5,3
21,19,10,0,8
22,45,24,9,5
23,12,11,4,6
24,10,12,6,3
25,14,15,7,2
26,16,11,5,5
27,13,11,5,2
28,19,11,5,4
29,29,6,0,4
30,16,19,11,4
31,14,16,10,3
32,13,14,6,2
33,39,11,5,4
34,16,14,6,3
35,13,17,9,3
36,12,15,6,2
37,15,35,13,3
38,15,18,7,4
39,14,16,7,4
40,28,85,15,5
41,18,39,16,5
42,35,32,21,5
43,26,13,8,6
44,12,15,8,2
45,20,18,8,4
46,13,16,6,2
47,102,31,16,3
48,33,46,10,2
49,21,100,29,3
50,13,24,8,3
51,17,12,5,4
52,12,12,6,2
53,11,10,4,2
54,12,13,7,4
55,11,12,6,2
56,13,18,8,4
57,65,40,9,16
58,21,52,8,3
59,13,19,11,3
60,12,18,7,2
61,13,14,8,2
62,15,14,5,6
63,17,46,21,39
64,44,31,15,16
65,16,10,1,5
66,12,19,11,2
67,15,28,13,3
68,11,38,3,4
69,14,20,12,9
70,11,16,8,2
71,16,20,8,3
72,10,10,3,2
73,12,11,5,4
74,13,16,10,4
75,16,18,11,3
76,9,18,12,2
77,13,15,6,1
78,13,15,8,1
79,18,23,7,5
80,15,36,13,3
81,12,15,8,2
82,12,9,3,4
83,12,12,4,2
84,13,6,0,2
85,12,7,0,7
86,9,8,3,2
87,12,11,6,2
88,13,6,0,1
89,11,10,5,2
90,11,18,11,2
91,10,8,3,2
92,12,8,3,3
93,14,12,3,2
94,16,14,9,2
95,16,13,7,1
96,11,24,17,2
97,6,10,3,2
98,7,11,5,2
99,11,12,5,1
100,27,10,3,6
