RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,28,22,11,1
2,18,14,6,2
3,18,18,12,1
4,17,55,8,2
5,13,5,0,2
6,20,57,50,1
7,26,13,7,2
8,9,7,3,1
9,7,9,5,1
10,8,14,8,1
11,11,17,8,2
12,15,17,10,3
13,13,15,8,3
14,48,16,8,1
15,15,13,3,2
16,14,6,0,3
17,8,9,4,1
18,9,6,0,2
19,9,10,5,1
20,8,11,3,1
21,11,30,5,1
22,9,10,5,1
23,10,11,6,2
24,13,12,5,2
25,15,19,8,2
26,17,12,5,1
27,45,24,7,3
28,18,12,5,3
29,17,13,7,3
30,10,10,4,1
31,14,30,24,2
32,22,13,6,1
33,39,12,8,1
34,10,11,6,1
35,12,12,7,1
36,12,13,7,3
37,10,8,4,1
38,10,12,5,1
39,11,8,3,3
40,11,10,4,1
41,11,10,6,1
42,12,10,4,1
43,11,12,4,1
44,17,12,5,2
45,26,14,9,2
46,15,10,5,2
47,15,14,6,19
48,17,9,4,2
49,83,16,9,1
50,9,14,8,2
51,14,15,9,2
52,12,13,5,2
53,12,14,7,3
54,7,17,8,1
55,7,8,3,2
56,9,11,5,1
57,7,16,10,1
58,9,10,4,1
59,7,10,6,2
60,8,12,7,1
61,7,12,6,1
62,12,10,6,2
63,7,11,7,2
64,8,12,5,1
65,10,10,5,2
66,9,11,5,1
67,8,11,5,1
68,9,5,0,2
69,8,9,4,1
70,12,10,5,1
71,12,10,5,1
72,7,11,5,1
73,9,10,5,2
74,9,8,3,1
75,9,10,2,1
76,9,10,5,1
77,16,12,5,2
78,10,11,7,2
79,11,11,3,1
80,13,9,5,1
81,10,10,4,1
82,13,9,2,2
83,11,9,3,1
84,16,19,11,1
85,12,12,7,1
86,24,14,7,2
87,12,12,5,1
88,16,6,0,12
89,11,11,6,2
90,13,12,5,1
91,12,10,4,1
92,13,9,4,0
93,10,8,4,1
94,14,18,7,2
95,11,7,2,1
96,12,14,9,1
97,12,28,8,1
98,8,60,55,2
99,7,12,4,1
100,7,8,4,1
