RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,89,107,91,13
2,62,22,11,8
3,51,35,20,7
4,39,24,13,13
5,51,24,12,9
6,61,104,93,10
7,36,27,15,12
8,26,18,8,3
9,20,8,0,3
10,19,15,8,4
11,20,16,7,3
12,24,23,12,4
13,17,16,9,6
14,20,13,6,6
15,23,15,9,2
16,22,24,14,4
17,21,12,6,3
18,16,11,5,15
19,14,10,1,2
20,15,12,6,4
21,16,11,5,2
22,46,9,3,3
23,17,10,5,3
24,19,18,10,4
25,21,11,5,2
26,16,9,3,2
27,62,59,54,3
28,9,8,2,4
29,10,11,6,2
30,13,15,7,4
31,12,15,5,3
32,14,10,4,3
33,10,19,11,3
34,23,36,11,14
35,9,11,4,1
36,19,23,9,4
37,21,20,5,4
38,17,22,12,2
39,19,9,0,3
40,17,8,2,42
41,43,26,17,4
42,20,14,8,7
43,16,14,6,3
44,14,31,8,3
45,15,11,7,2
46,20,9,3,2
47,22,20,10,3
48,29,15,5,3
49,37,16,8,2
50,19,11,6,2
51,15,14,7,1
52,14,21,1,1
53,16,16,5,1
54,14,11,4,2
55,27,15,7,3
56,41,14,0,2
57,20,36,24,3
58,16,17,6,4
59,22,16,8,3
60,11,18,9,3
61,12,11,5,2
62,10,11,6,2
63,34,35,15,3
64,40,40,11,7
65,18,19,14,3
66,16,18,9,2
67,12,7,2,3
68,13,19,10,2
69,13,8,2,5
70,12,11,5,1
71,11,11,5,3
72,12,10,5,2
73,13,12,6,2
74,25,16,9,4
75,14,11,4,2
76,18,58,4,2
77,15,7,0,3
78,19,13,5,2
79,20,17,7,2
80,18,12,5,2
81,24,19,11,2
82,57,15,7,4
83,36,15,7,2
84,38,24,9,13
85,43,28,14,25
86,26,12,6,2
87,25,12,6,3
88,7,14,9,2
89,8,9,5,2
90,11,16,8,5
91,9,8,3,2
92,17,14,9,3
93,11,10,5,3
94,8,10,5,1
95,11,12,6,2
96,14,18,7,5
97,15,17,7,3
98,13,11,6,2
99,11,11,4,1
100,16,17,10,2
