RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,316,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
2,182,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
3,186,8,25,9,0.32,0.8888888888888888,0.47058823529411764
4,211,8,25,9,0.32,0.8888888888888888,0.47058823529411764
5,194,8,23,9,0.34782608695652173,0.8888888888888888,0.5
6,269,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
7,145,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
8,122,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
9,95,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
10,112,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
11,124,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
12,127,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
13,132,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
14,135,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
15,121,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
16,145,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
17,84,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
18,116,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
19,82,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
20,80,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
21,111,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
22,156,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
23,120,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
24,111,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
25,114,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
26,122,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
27,225,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
28,65,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
29,72,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
30,121,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
31,88,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
32,115,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
33,78,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
34,173,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
35,71,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
36,131,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
37,124,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
38,92,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
39,93,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
40,162,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
41,213,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
42,122,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
43,91,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
44,109,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
45,76,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
46,119,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
47,117,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
48,177,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
49,194,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
50,107,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
51,120,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
52,82,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
53,81,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
54,89,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
55,151,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
56,179,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
57,185,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
58,120,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
59,136,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
60,125,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
61,124,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
62,225,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
63,139,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
64,217,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
65,107,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
66,123,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
67,84,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
68,83,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
69,74,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
70,67,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
71,92,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
