RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,371,8,25,9,0.32,0.8888888888888888,0.47058823529411764
2,227,8,20,9,0.4,0.8888888888888888,0.5517241379310346
3,147,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
4,207,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
5,135,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
6,192,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
7,103,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
8,97,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
9,91,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
10,139,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
11,102,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
12,100,8,20,9,0.4,0.8888888888888888,0.5517241379310346
13,132,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
14,108,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
15,111,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
16,86,8,23,9,0.34782608695652173,0.8888888888888888,0.5
17,85,8,23,9,0.34782608695652173,0.8888888888888888,0.5
18,76,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
19,86,8,23,9,0.34782608695652173,0.8888888888888888,0.5
20,192,8,23,9,0.34782608695652173,0.8888888888888888,0.5
21,87,8,23,9,0.34782608695652173,0.8888888888888888,0.5
22,117,8,23,9,0.34782608695652173,0.8888888888888888,0.5
23,106,8,23,9,0.34782608695652173,0.8888888888888888,0.5
24,66,8,23,9,0.34782608695652173,0.8888888888888888,0.5
25,69,8,23,9,0.34782608695652173,0.8888888888888888,0.5
26,87,8,23,9,0.34782608695652173,0.8888888888888888,0.5
27,82,8,23,9,0.34782608695652173,0.8888888888888888,0.5
28,99,8,23,9,0.34782608695652173,0.8888888888888888,0.5
29,173,8,23,9,0.34782608695652173,0.8888888888888888,0.5
30,114,8,23,9,0.34782608695652173,0.8888888888888888,0.5
31,119,8,23,9,0.34782608695652173,0.8888888888888888,0.5
32,112,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
33,175,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
34,84,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
35,86,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
36,77,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
37,63,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
38,65,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
39,72,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
40,68,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
41,89,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
42,140,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
43,138,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
44,199,8,23,9,0.34782608695652173,0.8888888888888888,0.5
45,77,8,23,9,0.34782608695652173,0.8888888888888888,0.5
46,58,8,23,9,0.34782608695652173,0.8888888888888888,0.5
47,109,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
48,151,8,23,9,0.34782608695652173,0.8888888888888888,0.5
49,113,8,23,9,0.34782608695652173,0.8888888888888888,0.5
50,59,8,23,9,0.34782608695652173,0.8888888888888888,0.5
51,79,8,23,9,0.34782608695652173,0.8888888888888888,0.5
52,70,8,23,9,0.34782608695652173,0.8888888888888888,0.5
53,62,8,23,9,0.34782608695652173,0.8888888888888888,0.5
54,59,8,23,9,0.34782608695652173,0.8888888888888888,0.5
55,86,8,23,9,0.34782608695652173,0.8888888888888888,0.5
56,83,8,23,9,0.34782608695652173,0.8888888888888888,0.5
57,112,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
58,72,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
59,99,8,23,9,0.34782608695652173,0.8888888888888888,0.5
60,73,8,23,9,0.34782608695652173,0.8888888888888888,0.5
61,122,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
62,247,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
63,74,8,23,9,0.34782608695652173,0.8888888888888888,0.5
64,148,8,23,9,0.34782608695652173,0.8888888888888888,0.5
65,91,8,23,9,0.34782608695652173,0.8888888888888888,0.5
66,93,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
67,80,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
68,97,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
69,129,8,23,9,0.34782608695652173,0.8888888888888888,0.5
70,170,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
71,73,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
72,67,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
73,74,8,23,9,0.34782608695652173,0.8888888888888888,0.5
74,65,8,23,9,0.34782608695652173,0.8888888888888888,0.5
75,81,8,23,9,0.34782608695652173,0.8888888888888888,0.5
76,72,8,23,9,0.34782608695652173,0.8888888888888888,0.5
77,63,8,23,9,0.34782608695652173,0.8888888888888888,0.5
78,71,8,23,9,0.34782608695652173,0.8888888888888888,0.5
79,141,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
80,86,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
81,90,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
82,69,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
83,77,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
84,110,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
85,102,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
86,120,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
87,69,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
88,83,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
89,105,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
90,80,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
91,63,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
92,63,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
93,65,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
94,59,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
95,81,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
96,77,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
97,60,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
98,80,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
99,55,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
100,149,8,23,9,0.34782608695652173,0.8888888888888888,0.5
