	AVERAGE				STANDARD_DEVIATION				CONFIDENCE INTERVAL 95%			
RequisitionNumber	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure
0	299.857143	0.351556	0.777778	0.477270	80.319769	0.032997	0.157135	0.042122	59.500624	0.024444	0.116405	0.031204
1	234.857143	0.355934	0.841270	0.499624	146.028792	0.026323	0.080937	0.037176	108.177655	0.019500	0.059958	0.027540
2	154.571429	0.348989	0.857143	0.495481	29.359141	0.013492	0.050195	0.016199	21.749157	0.009995	0.037184	0.012000
3	179.142857	0.354550	0.873016	0.502660	45.442047	0.040002	0.038881	0.038699	33.663321	0.029634	0.028803	0.028668
4	149.000000	0.342538	0.888889	0.494194	50.230895	0.019494	0.000000	0.020124	37.210884	0.014441	0.000000	0.014908
5	157.000000	0.344277	0.888889	0.496104	57.772955	0.016254	0.000000	0.016575	42.798017	0.012041	0.000000	0.012279
6	117.857143	0.348606	0.888889	0.500573	21.675718	0.016789	0.000000	0.017145	16.057301	0.012438	0.000000	0.012701
7	106.285714	0.346347	0.888889	0.498268	20.505848	0.015640	0.000000	0.015941	15.190666	0.011586	0.000000	0.011809
8	96.428571	0.346347	0.888889	0.498268	28.589994	0.015640	0.000000	0.015941	21.179375	0.011586	0.000000	0.011809
9	120.714286	0.348266	0.888889	0.499636	40.566398	0.031891	0.000000	0.031760	30.051456	0.023625	0.000000	0.023528
10	116.714286	0.353513	0.888889	0.504697	16.298241	0.038365	0.000000	0.037308	12.073684	0.028421	0.000000	0.027638
11	112.000000	0.354617	0.888889	0.506248	19.048809	0.030038	0.000000	0.030241	14.111296	0.022252	0.000000	0.022403
12	117.142857	0.363974	0.888889	0.514901	24.925194	0.044827	0.000000	0.043827	18.464503	0.033208	0.000000	0.032467
13	118.142857	0.359883	0.888889	0.511367	27.094694	0.034869	0.000000	0.034759	20.071661	0.025831	0.000000	0.025749
14	146.285714	0.356059	0.888889	0.507962	132.349876	0.024568	0.000000	0.024761	98.044359	0.018200	0.000000	0.018343
15	105.571429	0.352430	0.888889	0.503978	35.237387	0.030841	0.000000	0.030649	26.103742	0.022847	0.000000	0.022705
16	99.571429	0.346132	0.888889	0.498115	42.378759	0.012592	0.000000	0.013006	31.394047	0.009328	0.000000	0.009635
17	85.000000	0.344062	0.888889	0.495950	21.367532	0.013314	0.000000	0.013752	15.828998	0.009863	0.000000	0.010187
18	94.285714	0.351327	0.888889	0.503200	23.740949	0.022413	0.000000	0.022528	17.587218	0.016604	0.000000	0.016689
19	130.428571	0.351327	0.888889	0.503200	45.949840	0.022413	0.000000	0.022528	34.039492	0.016604	0.000000	0.016689
20	89.000000	0.348606	0.888889	0.500573	18.244373	0.016789	0.000000	0.017145	13.515372	0.012438	0.000000	0.012701
21	98.285714	0.348606	0.888889	0.500573	30.968714	0.016789	0.000000	0.017145	22.941523	0.012438	0.000000	0.012701
22	90.571429	0.348606	0.888889	0.500573	21.986081	0.016789	0.000000	0.017145	16.287217	0.012438	0.000000	0.012701
23	77.428571	0.348606	0.888889	0.500573	15.202041	0.016789	0.000000	0.017145	11.261622	0.012438	0.000000	0.012701
24	92.714286	0.348606	0.888889	0.500573	18.683180	0.016789	0.000000	0.017145	13.840439	0.012438	0.000000	0.012701
25	94.571429	0.348606	0.888889	0.500573	17.831410	0.016789	0.000000	0.017145	13.209451	0.012438	0.000000	0.012701
26	104.714286	0.355409	0.888889	0.507499	52.098024	0.018755	0.000000	0.019078	38.594047	0.013894	0.000000	0.014133
27	97.857143	0.355409	0.888889	0.507499	26.920139	0.018755	0.000000	0.019078	19.942352	0.013894	0.000000	0.014133
28	109.142857	0.355409	0.888889	0.507499	32.502433	0.018755	0.000000	0.019078	24.077697	0.013894	0.000000	0.014133
29	131.571429	0.355409	0.888889	0.507499	55.135825	0.018755	0.000000	0.019078	40.844440	0.013894	0.000000	0.014133
30	95.428571	0.355409	0.888889	0.507499	17.863427	0.018755	0.000000	0.019078	13.233169	0.013894	0.000000	0.014133
31	102.857143	0.357667	0.888889	0.509803	14.277140	0.018658	0.000000	0.019007	10.576459	0.013822	0.000000	0.014081
32	97.857143	0.352376	0.888889	0.504031	33.301345	0.027813	0.000000	0.029142	24.669528	0.020604	0.000000	0.021588
33	114.285714	0.352376	0.888889	0.504031	58.621581	0.027813	0.000000	0.029142	43.426677	0.020604	0.000000	0.021588
34	82.285714	0.352376	0.888889	0.504031	13.593216	0.027813	0.000000	0.029142	10.069810	0.020604	0.000000	0.021588
35	139.428571	0.354447	0.888889	0.506196	107.135238	0.026841	0.000000	0.028184	79.365436	0.019884	0.000000	0.020878
36	89.857143	0.354447	0.888889	0.506196	39.124083	0.026841	0.000000	0.028184	28.982994	0.019884	0.000000	0.020878
37	92.142857	0.354447	0.888889	0.506196	31.206357	0.026841	0.000000	0.028184	23.117568	0.019884	0.000000	0.020878
38	144.142857	0.354447	0.888889	0.506196	172.103315	0.026841	0.000000	0.028184	127.493577	0.019884	0.000000	0.020878
39	112.285714	0.352283	0.873016	0.501275	50.623863	0.024981	0.038881	0.027422	37.501993	0.018506	0.028803	0.020314
40	108.571429	0.347954	0.873016	0.496806	47.101280	0.025262	0.038881	0.027185	34.892476	0.018714	0.028803	0.020139
41	163.000000	0.353245	0.873016	0.502578	98.928546	0.016109	0.038881	0.018288	73.285946	0.011934	0.028803	0.013548
42	112.000000	0.355316	0.873016	0.504743	25.219040	0.014240	0.038881	0.016906	18.682183	0.010549	0.028803	0.012524
43	136.857143	0.357386	0.873016	0.506907	55.924512	0.011724	0.038881	0.015094	41.428697	0.008685	0.028803	0.011181
