RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,332,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
2,158,8,25,9,0.32,0.8888888888888888,0.47058823529411764
3,165,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
4,254,8,25,9,0.32,0.8888888888888888,0.47058823529411764
5,102,8,25,9,0.32,0.8888888888888888,0.47058823529411764
6,149,8,25,9,0.32,0.8888888888888888,0.47058823529411764
7,244,8,25,9,0.32,0.8888888888888888,0.47058823529411764
8,84,8,25,9,0.32,0.8888888888888888,0.47058823529411764
9,81,8,25,9,0.32,0.8888888888888888,0.47058823529411764
10,117,8,25,9,0.32,0.8888888888888888,0.47058823529411764
11,182,8,25,9,0.32,0.8888888888888888,0.47058823529411764
12,116,8,25,9,0.32,0.8888888888888888,0.47058823529411764
13,144,8,25,9,0.32,0.8888888888888888,0.47058823529411764
14,100,8,25,9,0.32,0.8888888888888888,0.47058823529411764
15,91,8,25,9,0.32,0.8888888888888888,0.47058823529411764
16,89,8,25,9,0.32,0.8888888888888888,0.47058823529411764
17,96,8,25,9,0.32,0.8888888888888888,0.47058823529411764
18,107,8,25,9,0.32,0.8888888888888888,0.47058823529411764
19,108,8,25,9,0.32,0.8888888888888888,0.47058823529411764
20,138,8,25,9,0.32,0.8888888888888888,0.47058823529411764
21,116,8,25,9,0.32,0.8888888888888888,0.47058823529411764
22,149,8,25,9,0.32,0.8888888888888888,0.47058823529411764
23,89,8,25,9,0.32,0.8888888888888888,0.47058823529411764
24,75,8,25,9,0.32,0.8888888888888888,0.47058823529411764
25,100,8,25,9,0.32,0.8888888888888888,0.47058823529411764
26,104,8,25,9,0.32,0.8888888888888888,0.47058823529411764
27,69,8,25,9,0.32,0.8888888888888888,0.47058823529411764
28,77,8,25,9,0.32,0.8888888888888888,0.47058823529411764
29,104,8,25,9,0.32,0.8888888888888888,0.47058823529411764
30,135,8,25,9,0.32,0.8888888888888888,0.47058823529411764
31,94,8,25,9,0.32,0.8888888888888888,0.47058823529411764
32,83,8,25,9,0.32,0.8888888888888888,0.47058823529411764
33,84,8,25,9,0.32,0.8888888888888888,0.47058823529411764
34,89,8,25,9,0.32,0.8888888888888888,0.47058823529411764
35,85,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
36,59,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
37,74,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
38,67,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
39,81,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
40,110,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
41,60,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
42,133,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
43,155,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
44,113,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
45,72,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
46,72,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
47,132,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
48,114,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
49,152,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
50,71,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
51,71,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
52,65,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
53,59,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
54,62,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
55,56,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
56,92,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
57,160,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
58,81,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
59,87,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
60,72,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
61,137,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
62,115,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
63,303,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
