RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,94,129,107,6
2,42,16,7,8
3,46,24,15,10
4,37,22,10,6
5,21,21,7,6
6,23,25,19,5
7,34,27,13,3
8,24,17,11,4
9,13,6,0,5
10,27,26,16,7
11,28,27,6,4
12,18,19,11,6
13,18,13,5,5
14,15,9,3,3
15,18,12,3,4
16,16,14,6,3
17,15,14,6,3
18,10,11,5,2
19,38,20,10,5
20,23,18,4,4
21,15,11,6,3
22,14,13,2,4
23,13,11,3,4
24,17,10,3,1
25,14,11,5,3
26,18,12,6,4
27,15,17,7,5
28,18,57,49,4
29,20,16,7,7
30,19,13,5,5
31,9,13,7,2
32,12,12,5,1
33,12,35,10,2
34,14,10,5,2
35,12,14,6,3
36,13,16,7,3
37,11,11,5,2
38,11,12,6,3
39,15,20,9,2
40,11,16,8,3
41,12,16,9,1
42,14,24,11,2
43,18,15,8,4
44,16,25,7,8
45,11,10,5,2
46,9,11,5,2
47,12,12,5,2
48,37,12,4,2
49,11,13,6,4
50,9,13,7,2
51,15,10,4,4
52,11,11,5,3
53,11,11,6,1
54,12,8,3,3
55,14,15,9,1
56,34,13,4,3
57,12,13,7,3
58,21,15,8,2
59,12,9,2,2
60,12,11,5,1
61,17,11,3,5
62,21,21,13,5
63,24,22,7,2
64,34,19,8,7
65,19,91,86,2
66,49,17,10,1
67,10,18,8,2
68,8,13,7,3
69,11,7,2,2
70,12,16,6,2
71,10,10,4,3
72,11,7,3,3
73,12,12,7,2
74,11,16,9,2
75,22,18,9,3
76,10,13,8,1
77,11,10,4,1
78,16,13,6,2
79,42,26,12,2
80,18,16,7,3
81,15,20,10,2
82,20,15,7,2
83,46,17,10,4
84,15,18,11,2
85,15,37,6,2
86,74,21,6,3
87,13,10,5,2
88,15,16,9,2
89,19,16,11,2
90,10,11,6,2
91,15,12,4,1
92,16,17,11,2
93,10,5,0,2
94,9,5,0,2
95,11,10,5,1
96,12,15,7,2
97,12,12,7,2
98,12,13,8,3
99,10,11,6,1
100,15,17,8,1
101,28,22,11,1
102,18,14,6,2
103,18,18,12,1
104,17,55,8,2
105,13,5,0,2
106,20,57,50,1
107,26,13,7,2
108,9,7,3,1
109,7,9,5,1
110,8,14,8,1
111,11,17,8,2
112,15,17,10,3
113,13,15,8,3
114,48,16,8,1
115,15,13,3,2
116,14,6,0,3
117,8,9,4,1
118,9,6,0,2
119,9,10,5,1
120,8,11,3,1
121,11,30,5,1
122,9,10,5,1
123,10,11,6,2
124,13,12,5,2
125,15,19,8,2
126,17,12,5,1
127,45,24,7,3
128,18,12,5,3
129,17,13,7,3
130,10,10,4,1
131,14,30,24,2
132,22,13,6,1
133,39,12,8,1
134,10,11,6,1
135,12,12,7,1
136,12,13,7,3
137,10,8,4,1
138,10,12,5,1
139,11,8,3,3
140,11,10,4,1
141,11,10,6,1
142,12,10,4,1
143,11,12,4,1
144,17,12,5,2
145,26,14,9,2
146,15,10,5,2
147,15,14,6,19
148,17,9,4,2
149,83,16,9,1
150,9,14,8,2
151,14,15,9,2
152,12,13,5,2
153,12,14,7,3
154,7,17,8,1
155,7,8,3,2
156,9,11,5,1
157,7,16,10,1
158,9,10,4,1
159,7,10,6,2
160,8,12,7,1
161,7,12,6,1
162,12,10,6,2
163,7,11,7,2
164,8,12,5,1
165,10,10,5,2
166,9,11,5,1
167,8,11,5,1
168,9,5,0,2
169,8,9,4,1
170,12,10,5,1
171,12,10,5,1
172,7,11,5,1
173,9,10,5,2
174,9,8,3,1
175,9,10,2,1
176,9,10,5,1
177,16,12,5,2
178,10,11,7,2
179,11,11,3,1
180,13,9,5,1
181,10,10,4,1
182,13,9,2,2
183,11,9,3,1
184,16,19,11,1
185,12,12,7,1
186,24,14,7,2
187,12,12,5,1
188,16,6,0,12
189,11,11,6,2
190,13,12,5,1
191,12,10,4,1
192,13,9,4,0
193,10,8,4,1
194,14,18,7,2
195,11,7,2,1
196,12,14,9,1
197,12,28,8,1
198,8,60,55,2
199,7,12,4,1
200,7,8,4,1
