RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,81,151,121,9
2,65,31,15,18
3,43,16,7,7
4,43,24,14,11
5,32,12,4,5
6,31,26,9,5
7,18,16,8,3
8,21,13,5,4
9,19,14,7,3
10,19,15,5,6
11,34,7,0,6
12,22,13,5,3
13,20,85,71,4
14,15,11,6,4
15,12,6,1,1
16,22,9,3,3
17,27,14,8,2
18,19,19,14,3
19,17,16,7,8
20,21,18,8,3
21,41,335,11,2
22,29,22,11,7
23,16,13,1,3
24,19,14,9,3
25,19,11,4,2
26,12,11,5,4
27,15,102,3,3
28,14,10,5,3
29,22,15,6,3
30,37,11,6,3
31,23,13,5,3
32,21,13,7,3
33,14,81,5,4
34,19,12,6,2
35,8,24,16,2
36,9,12,3,3
37,11,14,8,3
38,12,10,3,2
39,15,11,6,4
40,11,6,0,1
41,14,23,14,2
42,18,15,7,19
43,13,15,8,2
44,13,14,7,2
45,21,11,6,3
46,16,30,9,3
47,18,27,10,3
48,14,11,4,3
49,17,15,10,4
50,14,10,5,2
51,22,22,7,4
52,20,8,2,2
53,11,8,2,1
54,17,12,7,2
55,13,10,5,1
56,15,12,6,2
57,33,25,11,3
58,56,31,17,2
59,30,11,4,2
60,32,22,9,2
61,17,17,10,4
62,10,8,3,12
63,14,46,9,2
64,16,20,10,45
65,44,40,25,4
66,12,13,5,2
67,11,12,6,2
68,10,11,3,2
69,9,10,4,1
70,12,9,3,1
71,13,18,11,25
72,13,12,5,1
73,21,9,0,3
74,15,20,12,2
75,24,12,6,2
76,16,13,5,1
77,14,14,8,2
78,14,13,6,2
79,15,10,4,2
80,24,22,9,4
81,14,11,6,2
82,20,14,7,3
83,14,13,7,3
84,20,9,1,2
85,18,11,6,2
86,14,9,4,2
87,41,113,9,1
88,21,15,6,7
89,16,8,3,2
90,12,20,13,1
91,19,105,5,2
92,11,11,5,3
93,9,9,5,2
94,10,16,9,2
95,12,8,3,1
96,11,16,9,3
97,11,7,2,2
98,12,7,3,2
99,15,15,6,1
100,12,14,8,2
