RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,56,89,76,9
2,46,22,12,7
3,50,7,0,17
4,39,53,38,11
5,72,189,7,15
6,29,26,19,4
7,26,13,5,5
8,24,14,8,4
9,19,12,6,4
10,22,10,4,5
11,26,35,20,4
12,42,33,21,5
13,25,30,7,8
14,22,15,9,5
15,18,5,0,4
16,22,18,8,2
17,31,9,2,3
18,14,70,63,3
19,30,20,10,2
20,22,19,9,6
21,15,15,6,5
22,25,13,3,2
23,15,16,7,11
24,10,11,4,2
25,17,14,4,2
26,12,12,7,4
27,11,11,4,2
28,16,8,2,8
29,17,12,5,4
30,17,16,9,9
31,13,9,4,3
32,14,9,3,2
33,17,17,10,3
34,17,4,0,2
35,13,13,4,5
36,15,17,10,2
37,18,18,8,2
38,17,13,7,3
39,23,8,3,2
40,15,8,3,3
41,92,62,24,2
42,30,29,15,5
43,32,13,3,12
44,12,13,3,6
45,13,23,8,4
46,29,26,11,4
47,16,24,11,2
48,15,12,5,3
49,29,20,11,4
50,16,15,8,2
51,13,10,4,6
52,10,12,5,2
53,12,11,6,2
54,15,10,4,2
55,12,11,6,3
56,18,21,11,3
57,12,11,3,5
58,16,12,4,2
59,17,14,7,2
60,31,21,8,2
61,28,28,14,3
62,26,99,16,6
63,39,19,10,3
64,19,18,6,7
65,13,10,6,3
66,23,14,7,2
67,35,17,8,2
68,19,16,9,1
69,17,17,11,4
70,8,24,18,2
71,9,11,5,1
72,9,9,3,2
73,9,7,3,2
74,9,9,3,2
75,36,13,5,2
76,14,16,10,2
77,12,11,3,1
78,10,10,5,3
79,20,19,8,2
80,15,21,11,2
81,17,17,7,4
82,17,18,8,2
83,18,13,3,3
84,14,19,9,2
85,20,16,9,2
86,15,11,5,2
87,12,13,6,1
88,14,12,5,3
89,13,7,2,1
90,11,9,3,3
91,15,10,4,2
92,12,10,5,1
93,13,8,3,1
94,13,9,4,1
95,18,10,5,1
96,20,12,6,3
97,14,13,6,2
98,15,8,4,2
99,8,18,12,1
100,10,19,13,2
