RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,334,8,25,9,0.32,0.8888888888888888,0.47058823529411764
2,165,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
3,138,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
4,155,8,25,9,0.32,0.8888888888888888,0.47058823529411764
5,178,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
6,162,9,30,9,0.3,1.0,0.4615384615384615
7,101,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
8,89,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
9,104,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
10,239,8,25,9,0.32,0.8888888888888888,0.47058823529411764
11,88,8,25,9,0.32,0.8888888888888888,0.47058823529411764
12,109,8,26,9,0.3076923076923077,0.8888888888888888,0.4571428571428572
13,179,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
14,118,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
15,96,8,29,9,0.27586206896551724,0.8888888888888888,0.42105263157894735
16,69,8,29,9,0.27586206896551724,0.8888888888888888,0.42105263157894735
17,71,8,29,9,0.27586206896551724,0.8888888888888888,0.42105263157894735
18,83,8,29,9,0.27586206896551724,0.8888888888888888,0.42105263157894735
19,99,8,29,9,0.27586206896551724,0.8888888888888888,0.42105263157894735
20,81,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
21,76,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
22,87,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
23,85,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
24,76,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
25,101,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
26,84,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
