RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,62,91,70,8
2,44,33,20,7
3,37,24,17,7
4,27,24,15,7
5,47,22,11,14
6,33,23,11,7
7,20,12,5,5
8,19,14,4,4
9,18,13,5,4
10,88,29,16,5
11,19,14,7,3
12,19,19,9,4
13,22,77,69,3
14,15,20,12,5
15,16,10,5,3
16,13,11,5,2
17,11,8,3,2
18,14,11,4,3
19,20,13,6,5
20,22,13,7,3
21,10,12,6,3
22,13,17,11,4
23,12,13,7,4
24,13,19,10,2
25,15,15,8,4
26,15,11,6,4
27,11,8,3,3
28,13,7,0,4
29,20,21,12,10
30,18,11,4,4
31,15,27,10,6
32,17,16,8,2
33,23,22,9,3
34,14,36,23,4
35,11,16,7,3
36,15,19,9,5
37,11,10,4,1
38,12,10,5,2
39,7,5,0,2
40,16,10,5,2
41,13,22,13,4
42,12,13,6,3
43,12,11,7,2
44,11,11,6,2
45,11,10,4,1
46,10,10,3,2
47,12,14,6,3
48,23,17,12,3
49,22,32,7,4
50,28,103,7,3
51,12,11,6,3
52,13,10,5,1
53,13,13,6,3
54,9,9,5,1
55,9,10,5,2
56,13,17,11,2
57,23,15,8,4
58,18,25,16,4
59,14,37,28,2
60,16,20,11,2
61,11,8,2,3
62,13,11,4,2
63,8,10,5,2
64,10,13,5,2
65,11,13,6,3
66,12,10,3,2
67,18,16,7,3
68,10,13,7,2
69,11,13,7,2
70,14,14,8,2
71,11,13,5,5
72,17,38,9,3
73,23,22,11,6
74,73,26,12,4
75,82,25,8,5
76,25,19,10,3
77,26,14,6,2
78,15,20,10,2
79,11,5,0,1
80,13,23,10,2
81,14,18,7,2
82,13,7,1,3
83,11,5,0,5
84,14,17,9,3
85,13,13,7,2
86,15,18,13,2
87,7,13,8,1
88,11,13,6,2
89,8,8,3,2
90,7,10,5,2
91,8,13,8,3
92,7,9,4,1
93,7,9,3,3
94,10,7,2,1
95,10,15,9,3
96,15,16,5,4
97,9,12,5,2
98,9,14,7,1
99,9,25,4,3
100,11,14,8,2
