RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,65,131,107,8
2,64,42,16,8
3,68,66,45,13
4,47,37,12,12
5,59,34,17,8
6,79,22,11,13
7,32,27,15,10
8,19,18,11,3
9,21,13,3,4
10,18,6,0,6
11,67,16,6,21
12,20,15,9,3
13,15,18,4,61
14,16,14,5,3
15,12,9,4,2
16,16,13,7,3
17,24,13,6,3
18,47,16,6,3
19,69,30,19,14
20,13,29,7,3
21,60,13,6,3
22,14,12,5,3
23,16,13,4,1
24,24,22,10,13
25,14,10,4,3
26,21,18,10,18
27,18,14,6,5
28,19,8,2,2
29,97,36,8,3
30,22,11,4,4
31,26,29,6,3
32,19,21,9,3
33,22,17,8,6
34,10,9,2,2
35,9,10,3,1
36,11,10,4,3
37,10,14,9,2
38,12,21,11,2
39,11,17,7,2
40,9,13,7,3
41,13,17,10,3
42,15,19,6,2
43,17,15,6,4
44,11,13,6,2
45,12,13,8,4
46,9,15,8,2
47,13,30,6,3
48,28,11,6,3
49,11,18,9,3
50,14,10,4,4
51,9,14,8,1
52,11,5,0,2
53,11,10,4,1
54,12,8,3,1
55,11,10,5,2
56,11,11,7,2
57,11,5,0,1
58,8,11,5,2
59,18,12,6,2
60,11,10,5,1
61,11,11,5,2
62,15,23,18,1
63,11,12,6,3
64,7,12,5,2
65,14,16,10,3
66,17,8,0,3
67,10,5,0,4
68,10,21,7,2
69,13,10,4,2
70,17,34,24,7
71,10,11,4,2
72,9,15,9,2
73,33,150,35,2
74,9,11,5,1
75,10,11,6,1
76,10,9,4,1
77,10,7,3,1
78,9,9,4,1
79,8,8,2,2
80,11,18,10,1
81,11,7,2,2
82,9,9,4,2
83,9,9,4,1
84,9,8,3,1
85,12,12,4,1
86,10,10,4,1
87,10,7,1,1
88,13,11,6,3
89,9,9,5,1
90,9,18,12,1
91,8,9,5,1
92,8,14,9,1
93,8,10,4,2
94,7,10,5,3
95,10,9,4,3
96,14,18,7,2
97,9,11,6,2
98,10,10,4,2
99,8,10,6,1
100,9,10,6,1
