RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,55,111,93,9
2,36,6,0,6
3,63,73,47,15
4,25,18,7,5
5,27,14,6,5
6,25,26,12,5
7,25,7,0,5
8,25,20,12,3
9,24,20,8,5
10,16,18,10,4
11,33,22,12,5
12,35,346,0,3
13,22,13,5,4
14,25,35,22,8
15,16,10,5,5
16,14,12,6,5
17,23,13,6,3
18,19,15,9,3
19,19,28,14,3
20,17,10,3,5
21,13,10,4,2
22,28,9,4,3
23,17,14,4,3
24,12,16,8,3
25,13,16,7,2
26,9,11,5,2
27,13,9,3,4
28,9,9,4,2
29,20,19,12,3
30,13,14,5,3
31,20,14,7,3
32,29,16,5,7
33,14,12,7,3
34,16,13,6,2
35,12,9,3,3
36,11,9,4,2
37,63,6,0,5
38,20,16,9,4
39,16,19,7,2
40,12,11,3,2
41,15,16,10,6
42,14,19,8,2
43,9,17,12,3
44,10,8,3,2
45,12,9,5,2
46,9,15,5,2
47,12,13,4,3
48,9,10,4,2
49,9,12,6,2
50,12,13,6,3
51,11,9,3,1
52,13,13,7,1
53,9,8,2,2
54,9,4,0,1
55,12,18,10,2
56,13,8,3,5
57,20,18,5,3
58,14,76,4,2
59,10,9,4,1
60,9,9,3,1
61,9,10,3,2
62,11,12,7,2
63,9,12,4,2
64,13,6,0,3
65,9,10,5,2
66,10,10,4,1
67,9,11,6,1
68,9,10,5,1
69,10,8,3,2
70,14,15,8,1
71,12,19,7,3
72,12,14,9,2
73,13,8,4,1
74,12,12,4,2
75,11,5,0,8
76,8,9,3,2
77,7,8,3,2
78,8,8,3,2
79,9,9,4,2
80,9,15,9,4
81,10,24,6,2
82,8,5,0,2
83,9,11,3,1
84,8,12,6,2
85,11,11,4,2
86,10,8,2,1
87,30,14,7,3
88,12,17,7,2
89,10,10,5,3
90,10,7,2,1
91,9,6,2,1
92,10,9,4,1
93,9,11,6,2
94,9,14,7,2
95,9,5,0,1
96,11,13,7,1
97,10,12,4,2
98,9,16,11,1
99,10,10,4,1
100,12,11,4,1
