RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,70,117,91,12
2,44,21,9,9
3,50,43,23,8
4,46,37,19,10
5,32,98,89,6
6,97,510,33,3
7,25,13,6,6
8,22,20,11,4
9,16,17,8,3
10,19,11,5,4
11,47,29,18,3
12,22,17,9,3
13,24,22,13,5
14,19,15,5,4
15,23,44,25,2
16,16,13,7,2
17,17,9,3,4
18,15,12,6,2
19,20,15,7,5
20,21,18,7,5
21,17,9,2,4
22,19,12,5,2
23,14,15,5,3
24,15,11,4,2
25,67,12,5,3
26,9,11,4,3
27,10,4,0,2
28,11,11,5,5
29,16,13,8,2
30,20,8,3,11
31,13,9,3,1
32,17,13,6,3
33,15,17,6,5
34,13,14,5,3
35,13,9,3,2
36,15,6,0,2
37,16,18,7,2
38,15,64,5,2
39,16,15,6,16
40,22,11,5,3
41,14,12,5,1
42,19,12,1,2
43,25,20,12,2
44,19,11,4,3
45,15,11,5,2
46,18,8,4,1
47,39,13,6,3
48,16,15,8,3
49,33,16,8,4
50,17,14,4,2
51,25,9,2,2
52,15,10,5,1
53,12,13,7,1
54,9,10,4,1
55,9,13,6,2
56,14,16,6,5
57,23,11,6,2
58,11,12,6,6
59,54,8,4,2
60,13,12,5,2
61,14,15,4,4
62,17,18,10,2
63,34,14,6,16
64,20,18,4,3
65,15,15,6,4
66,30,33,5,2
67,12,15,10,2
68,10,10,5,1
69,14,9,2,4
70,14,12,6,2
71,16,13,7,2
72,15,13,7,2
73,22,31,9,2
74,74,27,16,3
75,27,30,21,2
76,13,13,4,2
77,7,11,6,2
78,10,13,5,1
79,14,15,7,3
80,41,13,6,13
81,11,7,3,2
82,9,9,2,1
83,9,10,6,1
84,12,14,9,2
85,11,12,6,2
86,9,9,5,2
87,13,11,5,2
88,11,9,3,1
89,10,9,4,1
90,12,7,3,2
91,12,12,7,0
92,11,9,4,1
93,12,7,3,2
94,11,10,5,1
95,17,9,3,1
96,21,15,8,5
97,15,10,4,2
98,13,9,5,1
99,14,9,4,2
100,15,8,3,2
