RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,295,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
2,189,8,25,9,0.32,0.8888888888888888,0.47058823529411764
3,195,8,25,9,0.32,0.8888888888888888,0.47058823529411764
4,176,8,25,9,0.32,0.8888888888888888,0.47058823529411764
5,188,8,25,9,0.32,0.8888888888888888,0.47058823529411764
6,179,8,25,9,0.32,0.8888888888888888,0.47058823529411764
7,148,8,25,9,0.32,0.8888888888888888,0.47058823529411764
8,88,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
9,90,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
10,72,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
11,208,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
12,114,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
13,144,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
14,86,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
15,61,9,30,9,0.3,1.0,0.4615384615384615
16,74,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
17,92,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
18,151,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
19,233,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
20,89,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
21,122,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
22,75,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
23,72,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
24,129,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
25,73,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
26,136,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
27,99,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
28,85,8,28,9,0.2857142857142857,0.8888888888888888,0.43243243243243246
29,208,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
30,93,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
31,170,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
32,118,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
33,108,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
34,65,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
35,62,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
36,70,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
37,62,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
38,70,8,32,9,0.25,0.8888888888888888,0.3902439024390244
39,72,8,32,9,0.25,0.8888888888888888,0.3902439024390244
40,180,8,32,9,0.25,0.8888888888888888,0.3902439024390244
41,90,8,32,9,0.25,0.8888888888888888,0.3902439024390244
42,93,8,32,9,0.25,0.8888888888888888,0.3902439024390244
43,88,8,32,9,0.25,0.8888888888888888,0.3902439024390244
44,63,9,33,9,0.2727272727272727,1.0,0.42857142857142855
45,70,9,33,9,0.2727272727272727,1.0,0.42857142857142855
46,67,9,33,9,0.2727272727272727,1.0,0.42857142857142855
47,105,9,33,9,0.2727272727272727,1.0,0.42857142857142855
48,90,8,32,9,0.25,0.8888888888888888,0.3902439024390244
49,82,9,35,9,0.2571428571428571,1.0,0.40909090909090906
50,68,9,35,9,0.2571428571428571,1.0,0.40909090909090906
51,59,8,32,9,0.25,0.8888888888888888,0.3902439024390244
52,60,8,32,9,0.25,0.8888888888888888,0.3902439024390244
53,61,8,32,9,0.25,0.8888888888888888,0.3902439024390244
54,55,8,32,9,0.25,0.8888888888888888,0.3902439024390244
55,64,8,32,9,0.25,0.8888888888888888,0.3902439024390244
56,60,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
57,56,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
58,62,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
59,71,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
60,60,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
61,61,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
62,96,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
63,91,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
64,63,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
65,88,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
66,94,8,31,9,0.25806451612903225,0.8888888888888888,0.39999999999999997
