Splitted by tab
	AVERAGE				STANDARD_DEVIATION				CONFIDENCE INTERVAL 95%			
RequisitionNumber	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure
49	92.857143	0.288147	0.904762	0.436355	43.939662	0.018014	0.038881	0.018170	32.550359	0.013344	0.028803	0.013460
50	78.857143	0.287126	0.888889	0.433663	19.635453	0.019850	0.000000	0.022814	14.545880	0.014705	0.000000	0.016900
51	72.571429	0.285719	0.888889	0.432037	9.997959	0.020245	0.000000	0.023245	7.406456	0.014998	0.000000	0.017220
52	73.428571	0.287347	0.888889	0.433851	13.243404	0.021453	0.000000	0.024598	9.810671	0.015892	0.000000	0.018222
53	61.142857	0.287347	0.888889	0.433851	10.615737	0.021453	0.000000	0.024598	7.864104	0.015892	0.000000	0.018222
54	67.571429	0.287347	0.888889	0.433851	3.416646	0.021453	0.000000	0.024598	2.531040	0.015892	0.000000	0.018222
55	98.714286	0.288499	0.888889	0.435245	34.882309	0.019548	0.000000	0.022253	25.840702	0.014481	0.000000	0.016485
56	95.285714	0.288499	0.888889	0.435245	32.238904	0.019548	0.000000	0.022253	23.882476	0.014481	0.000000	0.016485
57	112.714286	0.286871	0.888889	0.433431	38.809845	0.018318	0.000000	0.020868	28.750207	0.013570	0.000000	0.015459
58	113.000000	0.286871	0.888889	0.433431	42.674850	0.018318	0.000000	0.020868	31.613391	0.013570	0.000000	0.015459
59	111.000000	0.288278	0.888889	0.435056	61.267563	0.017789	0.000000	0.020275	45.386812	0.013178	0.000000	0.015020
60	108.285714	0.288278	0.888889	0.435056	43.110205	0.017789	0.000000	0.020275	31.935900	0.013178	0.000000	0.015020
61	107.714286	0.288278	0.888889	0.435056	52.374242	0.017789	0.000000	0.020275	38.798668	0.013178	0.000000	0.015020
62	139.714286	0.288278	0.888889	0.435056	72.308297	0.017789	0.000000	0.020275	53.565752	0.013178	0.000000	0.015020
63	114.714286	0.286767	0.888889	0.433340	46.527148	0.017490	0.000000	0.019913	34.467160	0.012957	0.000000	0.014752
64	125.571429	0.286767	0.888889	0.433340	91.937645	0.017490	0.000000	0.019913	68.107109	0.012957	0.000000	0.014752
65	91.000000	0.282817	0.888889	0.428707	20.163616	0.020195	0.000000	0.023103	14.937142	0.014960	0.000000	0.017115
66	89.142857	0.279897	0.888889	0.425365	24.885042	0.019500	0.000000	0.022261	18.434758	0.014446	0.000000	0.016491
67	78.000000	0.279897	0.888889	0.425365	14.851647	0.019500	0.000000	0.022261	11.002052	0.014446	0.000000	0.016491
68	77.285714	0.279897	0.888889	0.425365	15.172478	0.019500	0.000000	0.022261	11.239722	0.014446	0.000000	0.016491
69	90.000000	0.281409	0.888889	0.427081	34.050383	0.020287	0.000000	0.023184	25.224413	0.015028	0.000000	0.017175
