RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,78,109,87,15
2,53,21,12,14
3,42,49,32,16
4,28,22,16,8
5,61,33,11,7
6,35,27,5,5
7,46,14,5,11
8,32,13,5,9
9,21,16,7,7
10,46,36,18,5
11,102,37,18,4
12,22,1277,1252,4
13,26,97,0,6
14,61,39,14,6
15,34,33,9,3
16,18,25,12,5
17,40,31,15,4
18,23,29,12,4
19,17,27,13,4
20,28,27,12,10
21,14,14,7,8
22,19,31,10,6
23,17,18,8,3
24,21,25,6,4
25,14,20,12,3
26,29,37,18,4
27,31,38,18,12
28,39,107,32,7
29,22,51,16,2
30,41,50,6,4
31,36,65,41,3
32,58,24,10,3
33,143,34,13,4
34,96,37,12,11
35,35,43,19,9
36,30,29,12,2
37,29,28,9,9
38,37,38,19,3
39,20,24,7,4
40,16,21,6,2
41,27,40,0,2
42,20,35,6,2
43,21,22,5,10
44,25,34,9,3
45,19,12,2,2
46,22,32,19,4
47,20,38,13,5
48,19,19,8,5
49,47,39,19,3
50,16,23,9,2
51,26,36,10,3
52,29,31,16,4
53,40,22,11,3
54,36,21,13,4
55,29,33,13,2
56,31,182,29,4
57,32,94,30,7
58,50,57,21,2
59,22,25,7,2
60,19,54,7,3
61,29,25,6,4
62,40,44,18,3
63,37,84,36,5
64,34,15,5,11
65,16,26,6,4
66,37,35,15,3
67,21,23,9,2
68,36,28,12,2
69,30,31,23,2
70,21,19,12,6
71,18,26,14,4
72,12,11,5,2
73,9,18,4,1
74,23,33,8,2
75,35,62,9,7
76,19,40,14,6
77,24,97,38,5
78,23,35,15,3
79,28,25,15,2
80,20,48,7,4
81,17,40,14,6
82,29,24,12,4
83,16,9,0,2
84,27,46,0,3
85,20,29,13,3
86,32,26,9,3
87,18,32,8,6
88,31,56,36,5
89,35,29,10,4
90,18,28,12,6
91,17,12,0,2
92,19,24,9,2
93,26,28,12,2
94,30,28,14,2
95,25,25,14,2
96,21,39,20,2
97,16,33,17,2
98,23,40,25,2
99,23,14,0,2
100,27,27,12,3
