RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,60,92,73,17
2,88,127,108,7
3,44,30,22,6
4,38,22,13,8
5,44,40,19,12
6,23,20,10,6
7,28,20,11,4
8,16,18,9,5
9,13,15,8,3
10,29,5,0,10
11,19,12,3,3
12,19,21,10,4
13,24,12,4,6
14,15,11,3,2
15,12,14,8,5
16,14,12,7,2
17,15,15,7,4
18,11,18,9,1
19,12,8,2,3
20,22,15,6,5
21,14,16,7,5
22,30,15,4,3
23,29,98,10,7
24,24,41,25,2
25,14,12,6,2
26,960,11,6,4
27,10,9,2,2
28,27,16,6,3
29,18,7,0,4
30,29,10,3,3
31,12,13,7,3
32,17,20,7,2
33,9,12,6,4
34,12,10,5,3
35,9,8,2,2
36,20,9,3,2
37,12,13,8,4
38,10,11,5,3
39,10,15,7,2
40,10,43,3,1
41,21,15,6,3
42,14,12,4,2
43,17,17,10,3
44,17,24,14,2
45,14,13,8,2
46,10,12,4,1
47,15,10,3,2
48,16,6,0,3
49,13,12,7,37
50,12,10,2,2
51,12,10,5,3
52,18,14,8,4
53,14,8,2,1
54,14,11,6,2
55,14,21,13,2
56,26,25,11,3
57,9,27,21,5
58,10,16,7,3
59,31,25,14,3
60,17,16,5,8
61,22,18,9,2
62,12,14,5,2
63,20,19,9,2
64,18,103,3,50
65,13,9,3,4
66,16,14,8,2
67,8,10,4,2
68,14,26,17,2
69,16,14,9,8
70,13,12,6,1
71,12,11,5,1
72,18,19,10,2
73,10,12,6,4
74,13,10,4,2
75,12,6,0,3
76,8,13,6,1
77,11,14,6,2
78,13,8,4,2
79,17,16,5,3
80,24,15,8,3
81,17,38,15,2
82,21,23,15,2
83,21,22,10,2
84,16,17,9,2
85,21,21,9,11
86,19,8,2,2
87,15,14,6,3
88,15,19,11,2
89,14,11,6,2
90,11,11,3,2
91,14,25,9,3
92,8,10,4,2
93,12,24,12,5
94,12,6,0,3
95,16,18,10,2
96,20,25,11,2
97,12,12,5,2
98,14,11,6,2
99,7,6,1,2
100,10,22,14,4
