RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,534,8,30,9,0.26666666666666666,0.8888888888888888,0.41025641025641024
2,158,8,27,9,0.2962962962962963,0.8888888888888888,0.4444444444444444
3,145,6,17,9,0.35294117647058826,0.6666666666666666,0.46153846153846156
4,247,6,17,9,0.35294117647058826,0.6666666666666666,0.46153846153846156
5,200,6,17,9,0.35294117647058826,0.6666666666666666,0.46153846153846156
6,115,6,13,9,0.46153846153846156,0.6666666666666666,0.5454545454545455
7,131,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
8,878,8,20,9,0.4,0.8888888888888888,0.5517241379310346
9,111,8,24,9,0.3333333333333333,0.8888888888888888,0.48484848484848486
10,156,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
11,95,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
12,215,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
13,103,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
14,89,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
15,101,7,20,9,0.35,0.7777777777777778,0.48275862068965514
16,62,7,20,9,0.35,0.7777777777777778,0.48275862068965514
17,87,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
18,75,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
19,78,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
20,112,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
21,89,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
22,112,7,19,9,0.3684210526315789,0.7777777777777778,0.5
23,118,7,19,9,0.3684210526315789,0.7777777777777778,0.5
24,72,7,20,9,0.35,0.7777777777777778,0.48275862068965514
25,96,7,20,9,0.35,0.7777777777777778,0.48275862068965514
26,126,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
27,88,7,20,9,0.35,0.7777777777777778,0.48275862068965514
28,120,7,20,9,0.35,0.7777777777777778,0.48275862068965514
29,108,7,19,9,0.3684210526315789,0.7777777777777778,0.5
30,163,7,19,9,0.3684210526315789,0.7777777777777778,0.5
31,203,7,19,9,0.3684210526315789,0.7777777777777778,0.5
