RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,85,188,147,6
2,47,30,19,5
3,42,19,8,13
4,46,72,0,11
5,39,26,12,10
6,19,17,8,4
7,20,28,9,4
8,40,709,702,4
9,19,16,8,4
10,31,18,9,12
11,22,15,4,3
12,17,117,4,4
13,15,14,5,5
14,15,13,7,3
15,16,18,12,2
16,11,7,2,4
17,14,7,2,2
18,20,9,3,2
19,17,15,8,2
20,15,10,4,5
21,16,14,4,4
22,19,22,8,3
23,11,16,10,5
24,11,18,11,2
25,16,12,6,6
26,14,20,12,4
27,18,14,6,3
28,18,18,10,5
29,14,15,7,6
30,30,37,15,3
31,14,106,7,4
32,15,13,6,3
33,15,12,5,3
34,16,13,6,3
35,8,13,4,2
36,10,11,5,1
37,12,6,0,1
38,9,16,6,1
39,11,12,7,2
40,12,12,7,2
41,17,18,9,3
42,11,22,11,2
43,20,19,8,3
44,18,15,8,19
45,26,15,8,3
46,39,79,14,4
47,14,15,8,2
48,13,18,11,2
49,11,18,10,2
50,11,8,4,2
51,11,10,5,1
52,14,8,2,2
53,12,13,7,2
54,10,8,3,7
55,10,12,5,2
56,14,14,8,3
57,15,15,7,5
58,15,15,9,2
59,31,27,15,4
60,10,13,6,2
61,13,14,8,3
62,12,19,11,9
63,48,22,11,7
64,12,11,5,2
65,11,14,6,2
66,16,26,6,2
67,8,12,7,2
68,9,15,7,1
69,13,17,9,3
70,24,11,3,3
71,10,17,5,1
72,12,11,5,4
73,9,11,4,2
74,12,18,8,6
75,40,14,7,2
76,23,34,13,2
77,14,16,7,1
78,13,10,4,3
79,14,10,5,2
80,17,32,10,8
81,16,14,7,2
82,20,17,9,1
83,15,20,9,2
84,31,29,13,2
85,19,17,9,16
86,16,10,3,3
87,12,13,7,1
88,10,16,9,1
89,9,14,7,1
90,13,13,7,4
91,9,12,7,2
92,7,13,5,1
93,8,10,5,2
94,7,5,0,2
95,8,11,6,2
96,11,13,4,3
97,9,11,4,2
98,8,15,10,2
99,10,17,7,2
100,16,20,7,2
