RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,83,155,105,14
2,71,24,14,35
3,42,35,21,8
4,34,36,22,5
5,51,32,18,45
6,32,26,15,6
7,40,12,6,4
8,39,45,17,7
9,45,38,17,7
10,32,28,11,4
11,24,29,0,4
12,32,84,33,5
13,33,39,16,4
14,29,25,6,12
15,33,46,22,10
16,33,38,24,5
17,26,36,19,10
18,28,64,22,3
19,27,28,10,8
20,23,14,5,8
21,29,18,7,9
22,19,46,18,7
23,24,22,7,8
24,21,34,10,3
25,30,86,9,3
26,24,43,12,8
27,23,37,17,5
28,31,20,9,3
29,22,29,13,4
30,26,11,6,4
31,12,14,4,4
32,23,11,6,3
33,17,18,10,1
34,14,35,11,3
35,10,14,7,4
36,13,16,9,4
37,9,20,12,6
38,8,15,6,2
39,22,29,14,2
40,19,11,4,12
41,13,18,10,3
42,12,19,10,2
43,19,15,1,9
44,18,8,0,1
45,9,17,6,1
46,9,10,4,1
47,22,25,10,3
48,43,50,19,5
49,30,68,23,3
50,19,37,21,3
51,28,35,6,3
52,11,12,6,2
53,15,14,7,3
54,12,9,4,2
55,15,16,3,2
56,28,27,15,6
57,23,19,8,7
58,16,16,6,3
59,30,22,11,3
60,15,17,6,3
61,22,24,15,3
62,18,19,7,4
63,30,43,20,4
64,51,144,64,7
65,34,33,14,5
66,34,38,15,3
67,20,19,12,4
68,20,19,10,2
69,26,12,6,5
70,27,23,11,3
71,13,26,7,3
72,12,11,6,5
73,15,11,4,5
74,27,120,6,3
75,41,23,14,4
76,20,28,12,3
77,11,21,8,5
78,39,29,12,2
79,26,22,7,10
80,20,29,17,4
81,16,15,4,2
82,26,31,13,6
83,26,20,5,5
84,18,38,18,5
85,12,13,5,4
86,16,11,6,3
87,32,28,22,4
88,17,21,14,1
89,25,22,11,2
90,17,22,11,2
91,12,19,8,2
92,16,27,6,4
93,30,26,13,4
94,20,19,8,4
95,12,29,16,2
96,15,29,13,2
97,15,12,6,1
98,14,15,8,1
99,17,13,7,3
100,47,63,21,6
