RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,361,8,25,9,0.32,0.8888888888888888,0.47058823529411764
2,296,8,25,9,0.32,0.8888888888888888,0.47058823529411764
3,139,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
4,157,8,20,9,0.4,0.8888888888888888,0.5517241379310346
5,225,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
6,167,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
7,110,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
8,82,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
9,75,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
10,174,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
11,91,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
12,178,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
13,103,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
14,82,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
15,78,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
16,70,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
17,92,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
18,68,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
19,62,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
20,106,8,20,9,0.4,0.8888888888888888,0.5517241379310346
21,118,8,20,9,0.4,0.8888888888888888,0.5517241379310346
22,139,8,20,9,0.4,0.8888888888888888,0.5517241379310346
23,248,8,20,9,0.4,0.8888888888888888,0.5517241379310346
24,181,8,20,9,0.4,0.8888888888888888,0.5517241379310346
25,68,8,20,9,0.4,0.8888888888888888,0.5517241379310346
26,1027,8,20,9,0.4,0.8888888888888888,0.5517241379310346
27,58,8,20,9,0.4,0.8888888888888888,0.5517241379310346
28,95,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
29,126,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
30,95,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
31,92,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
32,130,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
33,98,8,20,9,0.4,0.8888888888888888,0.5517241379310346
34,67,8,20,9,0.4,0.8888888888888888,0.5517241379310346
35,55,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
36,88,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
37,75,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
38,64,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
39,66,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
40,93,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
41,95,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
42,74,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
43,99,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
44,98,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
45,72,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
46,58,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
47,119,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
48,74,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
49,146,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
50,70,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
51,99,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
52,121,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
53,116,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
54,79,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
55,96,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
56,145,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
57,96,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
58,119,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
59,159,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
60,129,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
61,289,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
62,84,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
63,145,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
64,233,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
65,71,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
66,101,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
67,95,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
68,97,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
69,90,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
70,62,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
71,95,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
72,88,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
73,70,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
74,63,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
75,109,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
76,64,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
77,81,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
78,71,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
79,91,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
80,128,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
81,137,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
82,99,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
83,129,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
84,125,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
85,149,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
86,116,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
87,84,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
88,85,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
89,69,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
90,73,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
91,111,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
92,91,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
93,91,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
94,113,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
95,95,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
96,151,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
97,80,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
98,130,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
99,53,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
100,90,8,18,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
