RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,71,112,98,6
2,56,25,12,16
3,34,45,29,4
4,49,31,18,17
5,20,19,9,6
6,32,12,6,10
7,25,13,4,3
8,45,15,5,10
9,12,17,12,2
10,26,13,5,6
11,17,15,6,3
12,15,14,6,2
13,16,16,7,6
14,16,12,5,3
15,26,9,2,4
16,12,5,0,3
17,24,15,7,3
18,15,16,7,3
19,10,10,5,2
20,12,14,8,2
21,16,11,5,3
22,21,21,9,4
23,17,18,8,3
24,10,6,0,1
25,10,10,5,5
26,17,68,11,3
27,10,10,4,4
28,13,14,6,6
29,16,29,5,2
30,11,5,0,3
31,11,6,0,2
32,12,15,8,4
33,12,11,6,4
34,12,11,5,2
35,9,9,3,2
36,10,32,4,1
37,11,108,14,1
38,23,36,3,2
39,13,13,5,6
40,12,9,4,3
41,10,13,6,1
42,11,8,1,2
43,21,20,11,2
44,12,10,2,2
45,13,13,8,1
46,11,5,0,2
47,17,12,7,2
48,18,12,5,3
49,16,76,6,5
50,9,73,7,7
51,15,11,4,3
52,11,12,0,2
53,9,9,4,1
54,9,10,5,3
55,10,16,8,2
56,10,13,8,11
57,12,12,7,4
58,16,12,6,1
59,12,18,8,1
60,14,7,1,2
61,13,13,5,2
62,9,11,5,3
63,13,10,4,3
64,12,14,5,2
65,15,17,9,2
66,14,13,6,3
67,12,14,7,2
68,9,11,5,2
69,10,11,4,2
70,10,7,1,1
71,9,11,6,1
72,11,9,5,2
73,9,9,4,4
74,13,14,6,2
75,10,9,4,1
76,11,7,2,3
77,11,21,2,1
78,11,11,6,1
79,13,18,12,41
80,7,14,7,2
81,10,12,6,3
82,8,15,9,3
83,11,14,6,3
84,8,14,5,2
85,8,11,4,2
86,8,7,2,1
87,7,10,4,1
88,9,14,9,2
89,13,12,7,2
90,10,12,6,2
91,9,14,7,1
92,9,7,2,2
93,9,6,1,2
94,12,14,7,2
95,109,12,4,1
96,12,12,5,2
97,9,9,3,2
98,18,9,2,3
99,8,7,3,1
100,10,9,4,1
