RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,70,112,89,8
2,39,13,7,13
3,34,22,13,16
4,37,30,16,17
5,23,21,9,7
6,26,18,5,4
7,37,15,5,11
8,16,19,9,4
9,24,24,12,6
10,24,18,7,5
11,17,22,15,4
12,16,10,3,5
13,16,16,7,10
14,17,50,43,3
15,15,11,5,3
16,15,13,6,2
17,23,18,8,3
18,11,15,7,3
19,14,15,9,4
20,13,18,6,11
21,15,11,5,2
22,11,12,7,4
23,11,10,4,3
24,11,9,4,3
25,14,5,0,2
26,15,9,3,3
27,10,10,3,2
28,12,10,5,4
29,13,14,9,1
30,13,8,2,4
31,10,9,4,2
32,15,11,4,3
33,14,17,10,3
34,21,86,3,3
35,12,13,5,1
36,14,22,12,2
37,11,15,6,1
38,10,9,4,2
39,14,13,4,2
40,13,9,2,2
41,16,18,7,2
42,16,8,3,3
43,20,13,4,5
44,50,18,11,3
45,12,8,2,3
46,10,58,9,1
47,11,5,0,4
48,12,16,7,2
49,23,27,15,2
50,13,14,9,1
51,12,18,9,2
52,11,9,4,4
53,21,133,19,2
54,13,11,6,3
55,9,10,4,1
56,12,18,8,4
57,14,11,6,4
58,11,10,5,2
59,12,11,5,4
60,16,21,15,4
61,14,11,5,18
62,13,15,5,4
63,19,32,10,9
64,17,25,14,3
65,18,20,2,7
66,18,24,12,3
67,24,25,7,3
68,11,14,8,1
69,16,7,1,14
70,9,10,5,2
71,10,11,4,1
72,11,8,4,1
73,11,4,0,3
74,15,15,10,3
75,19,26,12,2
76,17,13,8,1
77,8,67,51,2
78,11,10,5,1
79,22,18,9,3
80,11,12,4,1
81,10,16,7,2
82,9,14,5,3
83,11,15,7,2
84,36,15,5,2
85,37,17,8,4
86,14,12,4,2
87,11,13,7,3
88,8,9,3,1
89,8,11,6,1
90,8,10,3,3
91,9,10,4,1
92,8,8,3,1
93,10,12,5,3
94,12,9,3,2
95,11,8,3,1
96,14,13,6,3
97,12,15,8,3
98,12,15,10,2
99,10,21,10,3
100,14,16,10,3
