RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,392,7,24,9,0.2916666666666667,0.7777777777777778,0.42424242424242425
2,159,7,24,9,0.2916666666666667,0.7777777777777778,0.42424242424242425
3,157,7,22,9,0.3181818181818182,0.7777777777777778,0.45161290322580644
4,188,7,20,9,0.35,0.7777777777777778,0.48275862068965514
5,271,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
6,118,7,20,9,0.35,0.7777777777777778,0.48275862068965514
7,155,7,20,9,0.35,0.7777777777777778,0.48275862068965514
8,99,7,19,9,0.3684210526315789,0.7777777777777778,0.5
9,102,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
10,104,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
11,108,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
12,97,8,23,9,0.34782608695652173,0.8888888888888888,0.5
13,110,8,23,9,0.34782608695652173,0.8888888888888888,0.5
14,166,8,23,9,0.34782608695652173,0.8888888888888888,0.5
15,96,8,23,9,0.34782608695652173,0.8888888888888888,0.5
16,82,8,23,9,0.34782608695652173,0.8888888888888888,0.5
17,105,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
18,80,8,23,9,0.34782608695652173,0.8888888888888888,0.5
19,83,8,23,9,0.34782608695652173,0.8888888888888888,0.5
20,109,8,23,9,0.34782608695652173,0.8888888888888888,0.5
21,75,8,23,9,0.34782608695652173,0.8888888888888888,0.5
22,67,7,21,9,0.3333333333333333,0.7777777777777778,0.4666666666666666
23,67,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
24,69,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
25,73,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
26,75,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
27,78,7,20,9,0.35,0.7777777777777778,0.48275862068965514
28,101,7,20,9,0.35,0.7777777777777778,0.48275862068965514
29,77,7,20,9,0.35,0.7777777777777778,0.48275862068965514
30,87,7,19,9,0.3684210526315789,0.7777777777777778,0.5
31,70,7,20,9,0.35,0.7777777777777778,0.48275862068965514
32,84,7,20,9,0.35,0.7777777777777778,0.48275862068965514
33,90,7,19,9,0.3684210526315789,0.7777777777777778,0.5
34,170,7,19,9,0.3684210526315789,0.7777777777777778,0.5
35,75,7,16,9,0.4375,0.7777777777777778,0.56
36,88,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
37,74,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
38,66,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
39,112,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
40,68,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
41,90,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
42,82,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
43,86,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
44,134,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
45,165,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
46,158,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
47,81,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
48,75,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
49,134,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
50,92,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
51,81,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
52,75,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
53,208,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
54,84,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
55,63,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
56,94,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
57,115,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
58,81,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
59,77,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
60,93,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
61,133,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
62,102,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
63,188,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
64,113,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
65,125,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
66,103,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
67,176,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
68,215,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
69,109,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
70,64,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
71,71,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
72,78,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
73,59,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
74,150,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
75,101,7,18,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
76,80,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
77,125,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
78,60,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
79,107,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
80,73,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
81,79,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
82,81,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
83,73,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
84,108,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
85,136,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
86,75,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
87,69,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
88,53,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
89,59,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
90,67,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
91,57,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
92,62,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
93,76,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
94,94,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
95,67,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
96,101,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
97,84,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
98,76,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
99,87,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
100,108,7,17,9,0.4117647058823529,0.7777777777777778,0.5384615384615384
