RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,58,106,86,9
2,45,16,9,9
3,32,32,20,5
4,43,6,0,9
5,26,15,9,4
6,22,24,11,5
7,25,20,10,3
8,36,21,5,6
9,28,40,27,8
10,30,22,13,7
11,16,12,5,4
12,24,16,8,3
13,16,18,8,5
14,16,12,4,3
15,15,12,6,3
16,15,16,8,2
17,20,14,6,6
18,11,12,7,3
19,19,21,13,3
20,20,14,4,3
21,53,24,14,6
22,24,15,6,3
23,25,74,63,4
24,13,11,6,2
25,11,12,7,2
26,15,11,5,10
27,12,13,6,2
28,12,12,7,5
29,16,22,12,4
30,16,26,15,3
31,10,15,9,13
32,9,9,3,2
33,15,18,7,2
34,12,10,3,3
35,19,17,9,4
36,22,11,6,4
37,18,11,1,6
38,20,18,10,3
39,13,13,7,2
40,13,18,11,3
41,14,15,9,2
42,9,15,8,2
43,13,8,1,7
44,11,9,4,2
45,16,13,7,2
46,10,7,3,1
47,15,10,3,15
48,17,14,5,2
49,30,16,5,7
50,8,25,14,2
51,16,15,6,5
52,24,12,2,4
53,10,10,5,2
54,7,9,3,2
55,9,7,2,3
56,13,20,11,3
57,18,23,8,4
58,9,13,8,1
59,13,14,6,2
60,11,10,4,1
61,11,12,7,5
62,11,10,5,9
63,18,16,8,3
64,29,26,14,2
65,14,14,8,3
66,13,16,5,2
67,15,22,10,2
68,15,16,10,3
69,13,11,6,2
70,11,10,6,1
71,18,63,11,14
72,56,17,10,3
73,16,18,7,2
74,12,18,8,3
75,26,10,4,1
76,24,15,6,2
77,13,10,4,2
78,22,26,15,2
79,20,19,5,2
80,21,23,14,4
81,23,14,3,5
82,23,20,9,3
83,16,18,12,3
84,11,16,5,5
85,9,9,2,2
86,12,13,7,1
87,8,10,3,2
88,10,9,4,2
89,11,15,9,2
90,12,16,9,3
91,9,10,3,2
92,9,11,6,2
93,10,12,7,1
94,8,9,4,2
95,10,5,0,1
96,10,12,6,2
97,10,7,2,1
98,11,8,1,2
99,9,10,4,2
100,19,19,11,2
