RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,56,87,73,8
2,53,31,14,7
3,79,349,22,8
4,49,44,28,12
5,24,21,11,6
6,52,27,16,13
7,26,24,10,4
8,19,14,5,6
9,22,12,3,3
10,15,13,4,4
11,15,21,14,2
12,28,24,13,8
13,16,71,7,5
14,15,9,3,4
15,11,10,4,53
16,24,133,25,4
17,11,16,11,2
18,11,10,5,3
19,11,12,7,2
20,15,9,4,4
21,14,11,5,3
22,18,15,7,3
23,11,15,9,5
24,11,12,5,5
25,10,8,3,1
26,10,10,5,2
27,11,11,5,2
28,13,9,3,4
29,14,8,0,3
30,20,21,12,2
31,10,8,4,3
32,21,97,19,2
33,12,25,4,2
34,14,13,8,3
35,11,13,5,3
36,16,16,9,2
37,15,14,8,4
38,8,22,15,2
39,10,14,8,3
40,9,11,5,2
41,13,23,8,5
42,10,14,6,2
43,11,10,4,3
44,12,10,5,2
45,8,14,5,2
46,9,10,2,2
47,36,12,5,9
48,10,10,5,3
49,25,11,2,2
50,10,11,6,4
51,10,12,7,1
52,10,11,6,4
53,10,14,9,1
54,10,15,7,2
55,17,9,3,3
56,14,17,7,13
57,16,10,4,6
58,13,14,4,2
59,13,17,9,2
60,35,16,5,2
61,11,5,0,2
62,11,9,3,2
63,13,13,4,2
64,12,5,0,2
65,11,10,6,1
66,17,23,14,1
67,17,11,0,3
68,11,14,7,2
69,30,18,9,11
70,24,7,0,3
71,16,13,4,3
72,13,39,10,2
73,11,41,7,5
74,8,22,13,3
75,20,14,7,2
76,11,18,6,3
77,30,12,6,3
78,12,13,5,2
79,19,53,9,6
80,13,38,12,2
81,11,10,4,3
82,30,125,51,2
83,10,13,6,2
84,9,12,7,2
85,11,9,4,2
86,12,13,7,2
87,13,16,8,2
88,12,7,1,1
89,10,12,5,2
90,17,9,5,3
91,10,8,3,2
92,8,13,6,1
93,10,11,4,2
94,9,11,6,1
95,10,9,3,1
96,15,15,8,3
97,11,11,5,1
98,15,14,6,4
99,11,9,4,2
100,12,16,9,2
