RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1,362,8,20,9,0.4,0.8888888888888888,0.5517241379310346
2,201,9,22,9,0.4090909090909091,1.0,0.5806451612903226
3,220,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
4,235,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
5,383,8,20,9,0.4,0.8888888888888888,0.5517241379310346
6,361,8,20,9,0.4,0.8888888888888888,0.5517241379310346
7,233,8,23,9,0.34782608695652173,0.8888888888888888,0.5
8,328,8,23,9,0.34782608695652173,0.8888888888888888,0.5
9,112,8,23,9,0.34782608695652173,0.8888888888888888,0.5
10,516,8,23,9,0.34782608695652173,0.8888888888888888,0.5
11,114,8,23,9,0.34782608695652173,0.8888888888888888,0.5
12,133,8,23,9,0.34782608695652173,0.8888888888888888,0.5
13,192,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
14,132,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
15,124,8,23,9,0.34782608695652173,0.8888888888888888,0.5
16,116,8,21,9,0.38095238095238093,0.8888888888888888,0.5333333333333333
17,70,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
18,65,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
19,95,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
20,182,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
21,165,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
22,124,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
23,91,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
24,95,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
25,197,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
26,120,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
27,64,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
28,106,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
29,127,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
30,105,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
31,113,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
32,152,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
33,78,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
34,79,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
35,133,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
36,59,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
37,67,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
38,104,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
39,82,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
40,75,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
41,191,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
42,151,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
43,160,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
44,125,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
45,97,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
46,96,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
47,119,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
48,65,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
49,97,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
50,108,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
51,113,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
52,78,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
53,93,8,22,9,0.36363636363636365,0.8888888888888888,0.5161290322580644
54,86,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
55,84,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
56,107,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
57,138,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
58,104,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
59,86,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
60,91,8,19,9,0.42105263157894735,0.8888888888888888,0.5714285714285714
