RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,62,100,84,9
2,68,47,30,14
3,78,65,40,7
4,46,46,16,12
5,53,51,17,33
6,69,19,0,7
7,41,29,8,11
8,19,9,3,11
9,28,25,6,3
10,26,390,12,13
11,30,17,9,3
12,20,20,13,9
13,22,20,7,6
14,32,14,6,3
15,21,12,6,7
16,20,23,13,5
17,12,11,6,2
18,10,10,4,3
19,12,13,8,5
20,25,9,4,19
21,13,11,4,2
22,16,13,4,7
23,16,8,0,4
24,15,6,0,3
25,15,17,9,4
26,27,14,6,9
27,11,8,3,2
28,21,11,5,19
29,21,15,7,2
30,15,13,6,5
31,15,8,3,4
32,21,14,7,2
33,16,14,6,3
34,17,17,10,2
35,14,54,46,1
36,9,5,0,2
37,10,13,4,1
38,15,34,22,2
39,15,12,5,2
40,13,15,8,3
41,34,15,7,41
42,24,18,10,31
43,45,9,0,31
44,15,20,9,4
45,15,12,6,2
46,14,15,7,2
47,19,16,7,4
48,10,6,0,4
49,12,12,6,4
50,15,11,4,2
51,14,16,10,4
52,12,10,5,2
53,11,8,3,2
54,16,24,16,1
55,13,12,5,3
56,26,14,6,9
57,39,18,7,3
58,13,7,2,4
59,13,18,8,2
60,14,15,9,4
61,18,23,11,2
62,31,21,11,2
63,17,43,13,18
64,46,16,8,2
65,11,12,5,4
66,13,13,6,2
67,17,7,0,2
68,14,8,3,3
69,11,24,8,2
70,11,9,3,2
71,13,12,6,2
72,15,15,6,2
73,17,16,8,3
74,13,13,7,3
75,29,49,5,2
76,14,14,7,2
77,15,13,8,2
78,16,22,14,2
79,11,14,10,80
80,10,25,9,5
81,19,16,6,10
82,12,29,16,2
83,9,13,7,2
84,10,12,7,3
85,12,19,11,2
86,15,18,11,21
87,12,18,10,1
88,11,18,9,2
89,13,29,11,2
90,9,9,3,2
91,9,9,2,2
92,14,20,0,3
93,9,12,6,1
94,8,13,6,2
95,8,9,3,1
96,12,12,5,3
97,9,9,3,3
98,9,9,4,1
99,12,10,5,1
100,11,15,9,2
