RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,64,115,81,19
2,58,28,16,8
3,55,35,21,9
4,37,28,15,12
5,93,49,30,20
6,82,24,11,9
7,21,6,0,4
8,18,5,0,6
9,19,22,13,7
10,39,36,12,7
11,113,22,6,6
12,20,88,20,4
13,22,83,19,7
14,29,23,4,4
15,23,24,8,2
16,34,23,8,4
17,17,21,9,2
18,28,29,12,5
19,15,8,3,2
20,16,5,0,5
21,12,11,5,7
22,36,23,10,3
23,13,14,6,2
24,13,16,5,3
25,12,21,16,5
26,20,10,5,2
27,20,24,12,6
28,23,14,4,3
29,13,22,13,1
30,12,14,2,2
31,14,16,8,4
32,18,8,3,2
33,37,35,15,3
34,12,44,28,3
35,15,13,4,6
36,14,15,9,1
37,9,13,5,5
38,14,9,3,2
39,16,18,10,3
40,14,14,8,2
41,32,15,5,4
42,11,20,11,1
43,11,15,9,5
44,25,18,5,4
45,18,49,6,2
46,13,10,5,7
47,16,15,4,2
48,20,30,6,5
49,12,20,8,50
50,9,19,6,4
51,18,14,7,3
52,10,12,6,1
53,14,15,10,6
54,15,13,8,4
55,23,25,11,5
56,11,23,6,3
57,21,11,3,2
58,17,33,17,2
59,42,24,16,6
60,23,49,23,2
61,13,12,6,2
62,12,9,3,3
63,12,20,8,1
64,12,23,10,3
65,11,14,6,1
66,18,14,5,2
67,24,54,9,5
68,18,20,11,3
69,11,10,4,5
70,13,17,6,6
71,9,14,9,2
72,11,7,2,1
73,15,8,3,2
74,13,10,5,2
75,10,59,5,1
76,13,12,7,2
77,12,19,11,2
78,14,14,7,1
79,16,18,7,2
80,19,91,11,9
81,21,35,6,4
82,38,34,18,6
83,20,20,10,34
84,35,60,10,4
85,24,31,13,3
86,23,16,7,8
87,17,11,3,2
88,10,11,5,1
89,11,26,17,2
90,7,19,10,1
91,6,10,4,1
92,9,7,2,2
93,13,14,8,4
94,10,20,9,2
95,12,18,9,3
96,18,29,3,3
97,11,21,11,7
98,21,25,8,3
99,20,73,17,2
100,18,79,35,17
