RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,92,188,144,19
2,67,60,44,13
3,42,47,28,12
4,58,32,11,12
5,48,37,15,14
6,86,30,11,20
7,57,26,12,33
8,90,36,22,8
9,52,44,20,9
10,63,42,20,38
11,82,255,214,16
12,38,22,9,28
13,46,18,7,7
14,35,22,9,4
15,32,21,10,4
16,21,14,6,3
17,14,17,10,2
18,15,13,5,3
19,17,14,5,4
20,16,16,5,2
21,24,19,8,8
22,24,17,7,5
23,17,16,7,6
24,20,21,8,4
25,20,10,4,2
26,27,22,15,7
27,20,18,8,14
28,20,13,6,6
29,18,18,8,5
30,14,28,16,9
31,22,15,5,5
32,16,18,9,2
33,11,10,4,2
34,14,18,8,5
35,13,34,26,2
36,44,48,17,4
37,9,14,6,5
38,8,14,8,2
39,9,10,5,1
40,10,10,2,1
41,11,11,5,3
42,13,21,11,3
43,12,20,9,2
44,8,14,8,2
45,12,13,7,2
46,12,13,6,3
47,15,22,14,2
48,9,11,4,2
49,12,13,7,2
50,13,17,8,2
51,11,15,6,2
52,9,13,8,1
53,9,14,7,2
54,11,9,4,2
55,10,9,3,2
56,11,14,7,2
57,11,11,6,2
58,16,18,10,2
59,12,15,9,2
60,11,13,6,1
61,10,21,11,2
62,14,21,14,7
63,31,12,6,11
64,13,27,16,3
65,7,8,3,2
66,9,9,4,2
67,8,9,4,2
68,9,10,5,1
69,18,13,6,2
70,8,8,4,1
71,9,11,6,1
72,11,9,3,2
73,53,8,3,2
74,20,16,7,3
75,14,5,0,1
76,12,9,4,2
77,12,24,14,2
78,13,12,5,2
79,11,15,8,2
80,9,13,6,2
81,16,22,13,2
82,10,10,5,3
83,10,13,8,2
84,12,10,5,3
85,10,9,3,1
86,14,10,4,2
87,9,14,6,1
88,14,13,7,2
89,34,34,14,2
90,12,8,3,2
91,9,10,5,1
92,12,11,4,1
93,12,11,5,3
94,10,33,7,2
95,9,10,4,2
96,14,15,7,1
97,11,14,7,2
98,7,16,8,2
99,12,18,7,2
100,19,18,9,2
