RequisitionNumber, ElapsedTime, totalCorrectEquivProps, totalEquivalentProperties, totalRelevantProps, Precision, Recall, FMeasure
1, 18, 8, 22, 9, 0.36363636363636365, 0.8888888888888888, 0.5161290322580644
2, 17, 6, 12, 9, 0.5, 0.6666666666666666, 0.5714285714285715
3, 15, 6, 12, 9, 0.5, 0.6666666666666666, 0.5714285714285715
4, 18, 6, 13, 9, 0.46153846153846156, 0.6666666666666666, 0.5454545454545455
5, 14, 6, 12, 9, 0.5, 0.6666666666666666, 0.5714285714285715
6, 20, 7, 13, 9, 0.5384615384615384, 0.7777777777777778, 0.6363636363636364
7, 14, 7, 13, 9, 0.5384615384615384, 0.7777777777777778, 0.6363636363636364
8, 15, 7, 13, 9, 0.5384615384615384, 0.7777777777777778, 0.6363636363636364
9, 16, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
10, 0, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
11, 17, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
12, 11, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
13, 14, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
14, 18, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
15, 13, 8, 15, 9, 0.5333333333333333, 0.8888888888888888, 0.6666666666666667
16, 5, 8, 15, 9, 0.5333333333333333, 0.8888888888888888, 0.6666666666666667
17, 14, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
18, 19, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
19, 5, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
20, 10, 8, 15, 9, 0.5333333333333333, 0.8888888888888888, 0.6666666666666667
21, 9, 8, 14, 9, 0.5714285714285714, 0.8888888888888888, 0.6956521739130435
22, 20, 8, 15, 9, 0.5333333333333333, 0.8888888888888888, 0.6666666666666667
23, 16, 8, 16, 9, 0.5, 0.8888888888888888, 0.64
24, 14, 8, 15, 9, 0.5333333333333333, 0.8888888888888888, 0.6666666666666667
25, 12, 7, 12, 9, 0.5833333333333334, 0.7777777777777778, 0.6666666666666666
