	AVERAGE				STANDARD_DEVIATION				CONFIDENCE INTERVAL 95%			
RequisitionNumber	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure
49	16.000000	0.601646	0.888889	0.715829	4.070802	0.061638	0.000000	0.042626	3.015637	0.045661	0.000000	0.031577
50	15.428571	0.601646	0.888889	0.715829	4.593696	0.061638	0.000000	0.042626	3.402995	0.045661	0.000000	0.031577
51	13.857143	0.601646	0.888889	0.715829	3.907084	0.061638	0.000000	0.042626	2.894355	0.045661	0.000000	0.031577
52	16.714286	0.608972	0.888889	0.720777	2.547508	0.065746	0.000000	0.045575	1.887185	0.048705	0.000000	0.033761
53	15.571429	0.602693	0.888889	0.716259	3.499271	0.066922	0.000000	0.046269	2.592249	0.049576	0.000000	0.034276
54	15.142857	0.608135	0.888889	0.720400	3.795809	0.062461	0.000000	0.042813	2.811923	0.046271	0.000000	0.031716
55	10.142857	0.599477	0.888889	0.714958	8.806306	0.047835	0.000000	0.033827	6.523683	0.035436	0.000000	0.025059
56	15.285714	0.606589	0.888889	0.717892	1.829464	0.083158	0.000000	0.057634	1.355261	0.061603	0.000000	0.042695
57	11.000000	0.612868	0.888889	0.722409	7.837638	0.081916	0.000000	0.056949	5.806097	0.060683	0.000000	0.042188
58	13.142857	0.623072	0.888889	0.730359	5.617030	0.070933	0.000000	0.048084	4.161077	0.052547	0.000000	0.035621
59	14.714286	0.611351	0.888889	0.721701	2.657296	0.077693	0.000000	0.053059	1.968517	0.057554	0.000000	0.039306
60	14.428571	0.611351	0.888889	0.721701	2.664965	0.077693	0.000000	0.053059	1.974198	0.057554	0.000000	0.039306
61	17.428571	0.590971	0.888889	0.707601	0.494872	0.070749	0.000000	0.048988	0.366599	0.052411	0.000000	0.036290
62	13.571429	0.597250	0.888889	0.712119	6.986868	0.070687	0.000000	0.049136	5.175849	0.052364	0.000000	0.036400
63	14.428571	0.590971	0.888889	0.707601	4.865539	0.070749	0.000000	0.048988	3.604375	0.052411	0.000000	0.036290
64	18.285714	0.590971	0.888889	0.707601	1.577909	0.070749	0.000000	0.048988	1.168910	0.052411	0.000000	0.036290
65	17.428571	0.599629	0.888889	0.713043	3.063944	0.082255	0.000000	0.056290	2.269760	0.060935	0.000000	0.041700
66	14.285714	0.599629	0.888889	0.713043	5.390846	0.082255	0.000000	0.056290	3.993521	0.060935	0.000000	0.041700
67	17.285714	0.611351	0.888889	0.721701	2.864277	0.077693	0.000000	0.053059	2.121847	0.057554	0.000000	0.039306
68	13.571429	0.608135	0.888889	0.720400	6.020374	0.062461	0.000000	0.042813	4.459873	0.046271	0.000000	0.031716
69	17.571429	0.599477	0.888889	0.714958	3.288818	0.047835	0.000000	0.033827	2.436346	0.035436	0.000000	0.025059
70	13.857143	0.605756	0.888889	0.719475	6.033918	0.046610	0.000000	0.033050	4.469907	0.034529	0.000000	0.024483
71	16.571429	0.605756	0.888889	0.719475	1.916630	0.046610	0.000000	0.033050	1.419833	0.034529	0.000000	0.024483
72	12.857143	0.599477	0.888889	0.714958	4.015277	0.047835	0.000000	0.033827	2.974504	0.035436	0.000000	0.025059
73	14.142857	0.604919	0.888889	0.719099	6.663945	0.041784	0.000000	0.029107	4.936629	0.030954	0.000000	0.021562
74	15.285714	0.599477	0.888889	0.714958	2.710524	0.047835	0.000000	0.033827	2.007947	0.035436	0.000000	0.025059
75	14.571429	0.628514	0.888889	0.734500	6.114553	0.065058	0.000000	0.043445	4.529641	0.048195	0.000000	0.032184
76	17.571429	0.616793	0.888889	0.725842	2.060315	0.073244	0.000000	0.049623	1.526275	0.054259	0.000000	0.036760
77	14.571429	0.610513	0.888889	0.721325	4.467570	0.074960	0.000000	0.050714	3.309562	0.055530	0.000000	0.037569
78	17.857143	0.616793	0.888889	0.725842	3.356383	0.073244	0.000000	0.049623	2.486398	0.054259	0.000000	0.036760
79	15.285714	0.641073	0.888889	0.743535	4.095792	0.056506	0.000000	0.037277	3.034149	0.041860	0.000000	0.027615
80	15.142857	0.642120	0.888889	0.743965	7.199773	0.061561	0.000000	0.041105	5.333569	0.045604	0.000000	0.030450
81	14.857143	0.635840	0.888889	0.739448	4.703451	0.066047	0.000000	0.044304	3.484301	0.048927	0.000000	0.032820
82	16.428571	0.630398	0.888889	0.735307	6.253162	0.072394	0.000000	0.049279	4.632322	0.053629	0.000000	0.036506
83	16.857143	0.630398	0.888889	0.735307	2.996597	0.072394	0.000000	0.049279	2.219869	0.053629	0.000000	0.036506
84	15.428571	0.636678	0.888889	0.739824	4.065786	0.068825	0.000000	0.046825	3.011921	0.050986	0.000000	0.034688
85	15.285714	0.642120	0.888889	0.743965	3.653346	0.061561	0.000000	0.041105	2.706387	0.045604	0.000000	0.030450
86	18.000000	0.649446	0.888889	0.748912	1.772811	0.060993	0.000000	0.040881	1.313292	0.045183	0.000000	0.030285
87	15.142857	0.642120	0.888889	0.743965	4.642308	0.061561	0.000000	0.041105	3.439006	0.045604	0.000000	0.030450
88	14.857143	0.632415	0.888889	0.738093	3.313547	0.046369	0.000000	0.030866	2.454665	0.034350	0.000000	0.022866
89	16.000000	0.632415	0.888889	0.738093	3.891382	0.046369	0.000000	0.030866	2.882723	0.034350	0.000000	0.022866
90	17.285714	0.632415	0.888889	0.738093	2.962349	0.046369	0.000000	0.030866	2.194498	0.034350	0.000000	0.022866
91	12.571429	0.625089	0.888889	0.733145	6.608591	0.044388	0.000000	0.029393	4.895622	0.032882	0.000000	0.021774
92	17.285714	0.619647	0.888889	0.729004	2.813959	0.052269	0.000000	0.035740	2.084572	0.038721	0.000000	0.026476
93	13.857143	0.628519	0.873016	0.729070	3.642157	0.038756	0.038881	0.018001	2.698098	0.028710	0.028803	0.013335
94	18.000000	0.628519	0.873016	0.729070	2.976095	0.038756	0.038881	0.018001	2.204682	0.028710	0.028803	0.013335
95	16.285714	0.628519	0.873016	0.729070	5.417281	0.038756	0.038881	0.018001	4.013105	0.028710	0.028803	0.013335
96	13.000000	0.628519	0.873016	0.729070	8.383658	0.038756	0.038881	0.018001	6.210586	0.028710	0.028803	0.013335
97	14.857143	0.623077	0.873016	0.724929	6.577637	0.047970	0.038881	0.026527	4.872692	0.035536	0.028803	0.019651
98	17.142857	0.615751	0.873016	0.719982	3.719776	0.044547	0.038881	0.022015	2.755598	0.033000	0.028803	0.016308
99	13.714286	0.621193	0.873016	0.724123	5.417281	0.035568	0.038881	0.012083	4.013105	0.026349	0.028803	0.008951
