RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,65,105,88,9
2,54,40,24,9
3,53,53,34,10
4,67,48,30,10
5,41,21,13,10
6,62,31,16,11
7,57,31,17,7
8,44,149,124,7
9,19,23,11,3
10,15,14,7,3
11,23,29,12,3
12,17,10,4,3
13,24,19,9,5
14,20,12,6,4
15,21,12,6,8
16,35,27,15,6
17,11,11,5,1
18,10,9,3,2
19,12,9,4,2
20,15,10,2,3
21,11,14,5,2
22,22,27,14,2
23,15,19,9,6
24,12,13,5,3
25,17,13,6,2
26,14,16,8,2
27,14,10,4,2
28,19,18,9,5
29,14,14,6,1
30,17,25,20,5
31,9,10,3,2
32,11,12,6,3
33,21,18,8,3
34,16,16,10,14
35,19,23,10,13
36,52,20,9,12
37,22,27,9,3
38,82,25,8,4
39,20,37,19,6
40,13,17,7,2
41,34,28,6,4
42,19,42,14,5
43,17,20,8,3
44,22,14,5,3
45,22,18,9,4
46,16,6,0,4
47,29,85,9,9
48,22,16,5,5
49,23,24,13,5
50,12,21,12,2
51,15,11,4,2
52,11,10,4,1
53,16,13,5,2
54,16,13,5,1
55,13,18,11,5
56,14,8,0,1
57,15,20,9,5
58,18,12,5,5
59,13,43,34,2
60,14,25,11,1
61,16,22,13,2
62,23,28,13,3
63,17,21,8,17
64,13,15,7,5
65,12,27,13,2
66,16,22,9,12
67,20,56,23,2
68,28,34,10,2
69,20,16,9,6
70,11,11,4,3
71,35,14,9,2
72,15,5,0,3
73,8,10,5,1
74,9,17,10,2
75,11,12,6,2
76,12,12,6,4
77,9,6,0,1
78,12,11,6,2
79,12,10,3,1
80,18,15,7,4
81,12,15,8,4
82,24,32,8,4
83,18,30,17,2
84,18,87,11,4
85,15,22,12,2
86,21,16,8,3
87,10,10,5,1
88,7,28,22,2
89,9,10,5,1
90,10,13,7,4
91,11,9,4,1
92,8,5,0,1
93,24,12,6,3
94,10,9,3,2
95,9,18,9,2
96,16,20,10,5
97,11,24,5,3
98,14,11,2,6
99,11,12,3,2
100,17,30,20,2
