RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,87,119,92,10
2,55,32,18,14
3,41,25,12,10
4,67,60,37,5
5,36,29,17,12
6,30,25,15,7
7,32,25,13,8
8,32,23,12,5
9,28,21,9,4
10,32,16,4,12
11,36,31,15,4
12,30,11,4,4
13,35,17,7,8
14,23,85,11,3
15,19,8,3,3
16,24,27,10,3
17,13,11,5,4
18,16,12,5,7
19,18,9,4,3
20,26,13,7,4
21,14,13,6,2
22,17,8,3,15
23,11,9,0,3
24,11,15,7,7
25,13,14,6,1
26,12,15,6,3
27,19,9,4,6
28,15,16,9,6
29,22,18,10,6
30,27,39,9,7
31,13,15,9,6
32,14,13,5,6
33,21,23,12,8
34,19,36,8,2
35,11,15,9,6
36,16,18,12,2
37,17,92,14,2
38,9,17,7,3
39,19,14,5,2
40,12,13,6,3
41,19,20,9,3
42,13,41,12,4
43,14,26,10,2
44,10,20,10,2
45,20,10,3,5
46,15,11,5,5
47,20,23,9,4
48,41,19,8,12
49,15,19,6,3
50,11,10,4,2
51,17,16,4,2
52,19,17,10,5
53,9,5,0,2
54,11,13,6,7
55,19,21,13,2
56,19,16,8,3
57,12,15,9,2
58,9,15,7,2
59,10,15,7,3
60,19,12,5,3
61,38,12,5,4
62,30,38,14,3
63,47,44,10,3
64,20,41,27,3
65,9,22,13,3
66,10,14,7,3
67,20,21,13,11
68,10,26,8,4
69,18,13,5,2
70,10,15,4,4
71,10,13,6,2
72,10,20,8,2
73,9,12,7,1
74,10,16,11,4
75,17,34,19,2
76,12,13,5,1
77,16,11,6,3
78,18,19,10,2
79,11,18,9,5
80,24,26,13,2
81,21,30,15,3
82,30,29,12,4
83,24,22,6,5
84,26,32,13,2
85,22,30,14,4
86,23,20,10,2
87,12,6,1,2
88,17,21,7,3
89,10,12,7,2
90,19,25,15,3
91,10,12,7,3
92,7,11,6,1
93,8,12,6,1
94,8,13,5,1
95,7,11,5,1
96,10,14,6,7
97,9,13,7,2
98,12,22,12,2
99,12,11,5,3
100,8,12,5,2
