RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,82,123,94,11
2,58,36,23,16
3,60,27,14,8
4,43,48,35,13
5,67,44,21,10
6,81,38,20,62
7,37,33,16,36
8,17,24,15,3
9,27,12,3,4
10,20,19,7,6
11,19,14,6,3
12,27,15,6,7
13,21,14,5,5
14,19,13,8,2
15,26,15,5,4
16,40,18,0,3
17,15,9,3,3
18,23,384,15,2
19,15,15,9,7
20,25,39,12,7
21,19,21,7,4
22,24,19,6,4
23,14,27,11,4
24,15,21,14,3
25,20,15,8,2
26,33,14,5,25
27,19,31,15,3
28,38,13,5,4
29,24,32,16,4
30,20,12,4,5
31,12,13,5,2
32,13,10,4,4
33,16,10,4,1
34,12,14,7,3
35,12,11,2,3
36,12,14,7,2
37,12,14,4,2
38,13,9,3,5
39,12,11,4,3
40,11,7,2,5
41,26,31,14,5
42,16,26,13,4
43,13,12,4,5
44,18,17,7,3
45,31,17,9,7
46,14,18,7,3
47,15,18,8,2
48,11,12,8,2
49,12,16,9,2
50,20,26,17,3
51,11,13,7,2
52,11,14,7,4
53,10,12,6,2
54,10,11,6,2
55,11,12,7,3
56,11,12,5,4
57,9,10,4,1
58,12,17,10,2
59,9,13,5,2
60,13,10,3,2
61,10,12,5,2
62,18,15,6,4
63,11,13,7,2
64,17,18,6,5
65,16,32,19,2
66,12,11,3,1
67,11,12,6,1
68,9,11,6,1
69,11,8,3,4
70,9,12,2,1
71,12,22,9,2
72,12,11,5,1
73,18,23,15,2
74,11,16,10,2
75,16,15,8,1
76,18,12,5,2
77,13,14,8,2
78,12,11,4,2
79,10,7,0,2
80,12,15,8,1
81,15,10,4,2
82,12,7,0,1
83,12,20,8,1
84,13,20,14,2
85,11,49,8,2
86,8,11,5,2
87,10,11,4,1
88,30,17,8,4
89,51,12,5,2
90,15,10,5,2
91,9,18,12,1
92,11,17,5,1
93,8,9,2,2
94,9,16,8,2
95,9,14,9,2
96,12,15,6,2
97,13,16,6,2
98,16,11,5,1
99,13,15,9,2
100,8,10,5,1
