RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,64,89,73,10
2,68,40,27,8
3,41,37,27,11
4,66,50,27,19
5,41,22,10,18
6,31,27,8,10
7,29,31,13,10
8,33,30,20,5
9,23,12,5,4
10,22,14,8,9
11,22,19,11,6
12,24,20,10,4
13,18,12,3,12
14,18,18,11,4
15,12,25,11,3
16,24,21,10,3
17,79,17,10,2
18,16,15,8,3
19,12,12,5,2
20,17,26,13,8
21,23,14,4,7
22,17,15,7,4
23,13,17,3,6
24,14,17,8,3
25,12,12,5,6
26,13,14,8,2
27,12,14,6,4
28,19,47,7,5
29,17,15,7,3
30,34,16,6,6
31,12,10,4,4
32,11,14,8,2
33,12,14,0,2
34,14,19,12,2
35,10,11,4,2
36,13,19,10,3
37,13,20,12,3
38,18,13,7,3
39,20,18,4,4
40,13,12,4,2
41,13,18,9,2
42,18,30,12,4
43,23,17,8,4
44,10,5,0,2
45,10,9,4,3
46,8,13,4,2
47,10,20,8,2
48,33,25,16,14
49,11,18,8,4
50,10,12,7,3
51,10,13,7,1
52,14,10,3,4
53,14,14,9,2
54,14,14,4,1
55,8,10,4,2
56,19,19,10,7
57,12,25,9,6
58,13,15,7,2
59,31,26,13,3
60,11,15,6,2
61,13,11,6,3
62,10,10,4,3
63,9,11,5,1
64,14,13,5,20
65,13,15,7,2
66,19,18,8,10
67,15,15,7,2
68,12,24,10,2
69,22,17,7,6
70,31,26,15,2
71,12,25,19,2
72,16,17,10,2
73,23,25,8,2
74,22,18,0,4
75,30,52,38,6
76,13,18,6,2
77,14,13,3,2
78,14,10,2,1
79,19,25,16,3
80,10,16,6,7
81,10,18,7,1
82,12,14,9,5
83,14,18,9,1
84,31,14,0,3
85,15,13,3,8
86,14,16,9,3
87,12,21,8,2
88,10,17,7,2
89,16,11,5,1
90,9,17,10,1
91,9,6,0,2
92,9,17,10,1
93,21,20,11,2
94,12,15,7,1
95,14,11,6,2
96,11,21,9,2
97,11,8,2,2
98,15,26,5,2
99,11,21,12,1
100,15,27,17,4
