RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,119,143,112,10
2,61,105,78,7
3,40,8,0,8
4,66,49,28,14
5,40,36,16,5
6,25,20,7,12
7,24,19,8,5
8,24,21,11,8
9,21,15,7,6
10,28,18,6,10
11,18,22,13,3
12,27,21,11,4
13,24,15,6,9
14,28,10,4,5
15,23,22,14,5
16,27,32,18,5
17,18,18,12,10
18,14,13,5,1
19,17,18,10,2
20,22,31,13,6
21,13,15,9,2
22,26,62,52,7
23,10,12,5,3
24,10,11,5,2
25,13,12,6,5
26,15,14,8,4
27,9,19,8,2
28,14,12,4,2
29,18,25,14,4
30,15,21,5,3
31,20,16,6,3
32,11,10,5,3
33,13,10,5,3
34,10,13,6,1
35,14,14,7,2
36,13,12,3,2
37,23,55,13,4
38,12,14,7,2
39,12,15,8,3
40,13,13,6,1
41,24,36,22,3
42,40,33,20,2
43,23,25,10,4
44,34,28,9,3
45,24,17,8,3
46,10,21,10,5
47,17,17,7,10
48,13,64,50,41
49,16,17,12,3
50,8,7,2,2
51,9,13,6,2
52,11,10,4,4
53,10,13,7,3
54,12,10,5,2
55,8,10,5,2
56,16,21,11,3
57,14,27,13,2
58,93,12,4,2
59,19,24,16,4
60,34,19,11,2
61,14,17,10,2
62,14,15,8,4
63,12,16,8,3
64,23,24,8,9
65,13,8,3,3
66,15,26,17,3
67,23,19,7,3
68,10,19,11,1
69,13,24,14,6
70,16,20,11,3
71,16,22,14,2
72,12,16,5,1
73,23,96,87,4
74,9,17,10,2
75,26,18,8,3
76,13,11,3,2
77,15,19,9,2
78,18,19,9,3
79,27,12,2,11
80,20,24,8,3
81,30,49,30,3
82,19,26,12,2
83,27,25,10,1
84,12,17,10,1
85,11,15,7,1
86,11,11,5,2
87,8,12,6,1
88,11,10,4,2
89,8,10,3,2
90,9,11,5,1
91,13,18,11,2
92,11,9,4,2
93,8,12,7,2
94,10,14,7,2
95,13,27,14,4
96,16,15,7,1
97,10,11,6,1
98,11,8,3,1
99,11,13,9,1
100,14,13,7,2
