RequisitionNumber, OntologyConstruction, PropertiesMatching, IndexSearch, JsonLD
1,88,131,107,14
2,80,25,8,13
3,44,48,32,10
4,40,29,18,11
5,59,28,15,8
6,38,23,10,6
7,25,15,5,5
8,30,18,10,5
9,18,14,5,4
10,22,15,8,6
11,18,14,7,4
12,22,14,6,7
13,20,17,9,5
14,16,14,5,3
15,14,18,10,2
16,23,26,11,2
17,14,4,0,5
18,14,14,8,3
19,20,13,4,7
20,13,14,8,18
21,21,23,5,16
22,26,23,4,8
23,24,5,0,4
24,13,10,5,2
25,20,10,5,3
26,13,15,8,3
27,19,106,98,8
28,14,11,3,4
29,18,19,9,5
30,12,16,8,5
31,11,10,3,2
32,12,18,9,2
33,21,27,11,2
34,13,14,6,3
35,12,17,7,3
36,17,20,12,2
37,17,7,0,6
38,16,21,12,2
39,17,22,7,4
40,12,13,0,2
41,13,21,11,4
42,18,26,10,3
43,20,29,18,7
44,21,18,9,5
45,16,26,11,3
46,11,12,6,3
47,36,11,3,6
48,40,27,14,4
49,16,35,15,5
50,17,17,8,3
51,14,21,13,2
52,10,17,10,5
53,18,12,6,2
54,17,20,15,2
55,9,9,3,1
56,18,18,7,2
57,15,13,6,4
58,12,15,10,2
59,13,14,5,2
60,11,10,4,2
61,12,18,7,4
62,17,37,13,11
63,19,36,7,2
64,16,25,9,4
65,28,25,4,5
66,24,45,9,2
67,14,20,8,2
68,8,16,8,4
69,9,11,6,2
70,11,30,20,2
71,17,14,8,2
72,15,10,3,3
73,13,14,5,2
74,11,21,9,2
75,24,19,12,3
76,16,19,11,2
77,16,11,4,2
78,17,16,5,3
79,18,24,15,4
80,23,39,7,4
81,25,21,14,8
82,26,18,6,3
83,14,21,8,3
84,19,14,7,2
85,14,16,10,2
86,14,15,9,2
87,14,10,5,2
88,9,14,7,3
89,7,7,2,1
90,12,14,6,3
91,7,10,0,1
92,8,9,3,3
93,7,11,5,1
94,8,15,9,2
95,9,11,7,2
96,9,19,9,2
97,8,16,12,2
98,11,12,7,3
99,10,12,6,2
100,17,14,5,2
